gene_id,transcript_id,class,split,prob_pos,pred,utr3_au_content,rrach_count,rrach_per_kb,mrna_length,cds_length,utr3_length,idr_percent,rmsf_mean,rmsf_nterm50,rmsf_nterm_cterm_ratio,di_CG,di_UA,mfe_per_nt,confidence,class_label
AT1G06760,AT1G06760.1,1,train,0.72085,1,0.6612,15,12.94219,1159,822,183,77.74,22.2496,27.8825,1.24257,0.05095,0.04836,-0.26911,Medium (0.55–0.75),P-body enriched
AT1G07040,AT1G07040.1,0,train,0.43252,0,0.6601,20,11.27396,1774,1113,306,2.96,13.3937,31.5864,2.97413,0.03553,0.05584,-0.25169,Low (<0.55),Not enriched
AT1G07190,AT1G07190.1,0,train,0.06759,0,0.6,2,12.12121,165,162,50,0.0,9.1018,9.0217,1.00185,0.03049,0.04878,-0.24061,Low (<0.55),Not enriched
AT1G07250,AT1G07250.1,1,train,0.81462,1,0.6942,14,7.56757,1850,1437,206,0.0,1.4806,1.5301,1.27593,0.05733,0.04435,-0.29757,High (≥0.75),P-body enriched
AT1G07590,AT1G07590.1,0,test,0.85171,1,0.6919,28,11.63274,2407,1602,172,2.43,13.9192,43.8743,4.59629,0.03076,0.06608,-0.26622,High (≥0.75),Not enriched
AT1G07610,AT1G07610.1,0,train,0.1226,0,0.689,7,12.13172,577,135,283,0.0,8.4935,8.4935,0.98836,0.01389,0.09549,-0.22601,Low (<0.55),Not enriched
AT1G07620,AT1G07620.2,0,val,0.77439,1,0.7831,43,19.9536,2155,1734,166,37.54,42.5986,57.3748,1.63777,0.02275,0.05014,-0.2432,High (≥0.75),Not enriched
AT1G07660,AT1G07660.1,1,train,0.65694,1,0.6651,3,4.15512,722,309,212,25.24,6.4629,8.1875,1.65024,0.0319,0.05825,-0.2669,Medium (0.55–0.75),P-body enriched
AT1G07720,AT1G07720.2,0,train,0.3376,0,0.7289,29,13.82269,2098,1563,439,1.73,3.7664,16.253,4.69699,0.03433,0.06056,-0.25,Low (<0.55),Not enriched
AT1G07960,AT1G07960.4,0,test,0.56733,1,0.6301,16,12.32666,1298,438,365,3.42,4.6925,5.5017,1.28314,0.02159,0.06168,-0.23752,Medium (0.55–0.75),Not enriched
AT1G08180,AT1G08180.1,0,train,0.1263,0,0.7184,15,15.65762,958,333,380,100.0,18.5002,19.6159,1.06877,0.02508,0.0721,-0.22255,Low (<0.55),Not enriched
AT1G08250,AT1G08250.1,1,train,0.84861,1,0.7202,20,10.90513,1834,1239,218,31.72,12.1813,26.4319,3.34446,0.06274,0.04965,-0.29891,High (≥0.75),P-body enriched
AT1G08370,AT1G08370.1,1,train,0.82246,1,0.6554,13,7.56694,1718,1101,296,64.58,34.1361,24.1559,0.52064,0.02271,0.05533,-0.2404,High (≥0.75),P-body enriched
AT1G08380,AT1G08380.1,1,train,0.75497,1,0.6965,10,12.21001,819,420,201,7.14,15.9106,21.7674,1.58182,0.03056,0.05257,-0.23932,High (≥0.75),P-body enriched
AT1G08570,AT1G08570.1,1,train,0.86654,1,0.6257,20,11.66861,1714,825,521,19.64,19.3152,33.295,1.62801,0.02452,0.05254,-0.27077,High (≥0.75),P-body enriched
AT1G09160,AT1G09160.1,1,train,0.91157,1,0.6512,23,10.5215,2186,1284,602,3.27,5.3844,9.8945,1.15839,0.02746,0.05492,-0.26999,High (≥0.75),P-body enriched
AT1G09310,AT1G09310.1,1,train,0.71163,1,0.652,22,22.24469,989,537,250,35.2,12.13,9.5919,0.47242,0.01518,0.06579,-0.24651,Medium (0.55–0.75),P-body enriched
AT1G09490,AT1G09490.1,0,train,0.37582,0,0.7836,27,20.1643,1339,966,134,0.0,0.8919,0.9749,0.66957,0.02541,0.05605,-0.2528,Low (<0.55),Not enriched
AT1G09590,AT1G09590.1,1,train,0.74779,1,0.7179,15,17.20183,872,492,195,39.63,5.5564,5.0168,0.56756,0.03674,0.05626,-0.25459,Medium (0.55–0.75),P-body enriched
AT1G09795,AT1G09795.1,1,train,0.90561,1,0.6545,18,11.87335,1516,1239,220,5.08,17.1941,50.061,5.76355,0.02838,0.0429,-0.28146,High (≥0.75),P-body enriched
AT1G09950,AT1G09950.1,0,train,0.30682,0,0.673,21,15.75394,1333,690,318,1.74,1.7426,1.6515,1.21891,0.0488,0.05556,-0.26227,Low (<0.55),Not enriched
AT1G10390,AT1G10390.1,0,test,0.8714,1,0.6375,52,13.41935,3875,3123,309,83.96,94.4647,124.8529,1.82297,0.03201,0.03588,,High (≥0.75),Not enriched
AT1G10470,AT1G10470.1,0,val,0.33043,0,0.6965,20,9.91572,2017,777,636,40.15,21.1081,21.0841,0.64338,0.04315,0.0749,-0.24606,Low (<0.55),Not enriched
AT1G10500,AT1G10500.1,0,train,0.28004,0,0.7562,15,17.68868,848,540,160,0.0,18.6326,30.3272,2.24178,0.02834,0.05195,-0.24894,Low (<0.55),Not enriched
AT1G10990,AT1G10990.2,0,train,0.15052,0,0.7222,13,13.69863,949,576,270,87.5,25.2795,23.4902,0.77972,0.03586,0.08122,-0.22308,Low (<0.55),Not enriched
AT1G11240,AT1G11240.1,1,train,0.81914,1,0.6538,27,11.3828,2372,600,182,100.0,30.3607,33.341,0.86089,0.03037,0.0485,-0.27508,High (≥0.75),P-body enriched
AT1G11320,AT1G11320.1,0,test,0.89111,1,0.6887,32,16.78909,1906,1272,212,11.56,13.1384,29.7666,2.81231,0.02677,0.05092,-0.2586,High (≥0.75),Not enriched
AT1G11530,AT1G11530.1,1,train,0.73366,1,0.7225,7,10.7362,652,354,173,2.54,1.8392,1.4395,0.56171,0.01997,0.06452,-0.25337,Medium (0.55–0.75),P-body enriched
AT1G11580,AT1G11580.2,1,val,0.84897,1,0.7257,29,14.72829,1969,1734,175,6.23,14.3672,39.3294,3.60599,0.03963,0.05183,-0.27176,High (≥0.75),P-body enriched
AT1G11670,AT1G11670.1,0,train,0.29416,0,0.7235,21,9.83146,2136,1509,405,9.74,2.9158,8.8869,2.27682,0.03653,0.05574,-0.27505,Low (<0.55),Not enriched
AT1G11800,AT1G11800.1,1,train,0.90707,1,0.6548,28,16.57786,1689,1323,336,0.0,22.4486,30.9027,1.68004,0.03377,0.03851,-0.28514,High (≥0.75),P-body enriched
AT1G11870,AT1G11870.2,0,val,0.88675,1,0.6209,28,13.0719,2142,1542,459,18.48,14.2247,49.1451,4.9048,0.0355,0.05138,-0.27115,High (≥0.75),Not enriched
AT1G12050,AT1G12050.1,1,train,0.83643,1,0.6693,31,18.38671,1686,1263,257,3.8,0.5557,0.626,0.90922,0.0362,0.05401,-0.27598,High (≥0.75),P-body enriched
AT1G12200,AT1G12200.2,1,train,0.80761,1,0.6187,15,7.58725,1977,1146,716,7.85,3.5895,3.1055,0.26245,0.05213,0.05921,-0.28589,High (≥0.75),P-body enriched
AT1G12350,AT1G12350.2,1,train,0.86661,1,0.6806,19,11.88986,1598,951,216,0.0,1.3086,1.9315,1.93092,0.02693,0.05636,-0.2694,High (≥0.75),P-body enriched
AT1G12400,AT1G12400.3,0,train,0.13695,0,0.6832,10,13.10616,763,231,262,2.6,7.51,7.1578,1.02091,0.02756,0.06299,-0.20773,Low (<0.55),Not enriched
AT1G12800,AT1G12800.1,1,train,0.92027,1,0.696,33,11.97388,2756,2301,227,38.98,56.0217,79.0988,1.42949,0.0265,0.04791,-0.26785,High (≥0.75),P-body enriched
AT1G12900,AT1G12900.5,1,test,0.85242,1,0.6888,19,12.12508,1567,1323,196,0.45,17.6025,32.5929,2.42883,0.01916,0.04789,-0.28041,High (≥0.75),P-body enriched
AT1G12920,AT1G12920.1,1,train,0.87399,1,0.6908,24,14.49275,1656,1302,207,3.23,4.2005,4.5919,0.91987,0.02538,0.04955,-0.28702,High (≥0.75),P-body enriched
AT1G13090,AT1G13090.1,1,train,0.81007,1,0.5818,31,17.89838,1732,894,727,10.07,1.7977,3.2973,2.34217,0.03235,0.04622,-0.27719,High (≥0.75),P-body enriched
AT1G13180,AT1G13180.1,1,val,0.8496,1,0.6981,15,7.42942,2019,1281,265,0.47,2.9251,4.2396,1.35144,0.0337,0.06293,-0.26875,High (≥0.75),P-body enriched
AT1G13280,AT1G13280.1,1,train,0.83217,1,0.6345,16,11.91363,1343,762,342,14.57,15.3966,28.8072,2.37458,0.03502,0.06259,-0.24555,High (≥0.75),P-body enriched
AT1G13590,AT1G13590.1,0,train,0.12652,0,0.6718,14,15.87302,882,261,454,81.61,12.7697,11.3821,0.82814,0.01476,0.09194,-0.2107,Low (<0.55),Not enriched
AT1G13690,AT1G13690.1,1,val,0.35024,0,0.6277,9,10.42874,863,531,231,38.98,14.3146,14.5831,0.88824,0.03596,0.05684,-0.2803,Low (<0.55),P-body enriched
AT1G13930,AT1G13930.2,1,val,0.33385,0,0.7016,8,10.84011,738,465,191,100.0,18.4826,18.5771,0.82769,0.04071,0.05563,-0.27466,Low (<0.55),P-body enriched
AT1G13950,AT1G13950.1,0,test,0.5904,1,0.6442,9,9.56429,941,474,267,14.56,4.5411,7.1999,2.50414,0.03085,0.05106,-0.26036,Medium (0.55–0.75),Not enriched
AT1G14150,AT1G14150.1,1,train,0.73794,1,0.6806,22,25.9434,848,570,191,1.58,17.6883,28.4475,2.17103,0.05077,0.06612,-0.25024,Medium (0.55–0.75),P-body enriched
AT1G14310,AT1G14310.1,0,train,0.33082,0,0.6942,17,17.27642,984,762,121,0.0,7.8384,19.1515,3.58568,0.02747,0.04578,-0.26301,Low (<0.55),Not enriched
AT1G14380,AT1G14380.1,1,val,0.92062,1,0.6468,32,12.68834,2522,1992,269,79.67,69.3527,72.9544,0.88864,0.02102,0.04641,-0.27264,High (≥0.75),P-body enriched
AT1G14410,AT1G14410.1,1,train,0.89744,1,0.6265,20,13.39585,1493,789,431,16.35,21.2795,47.3248,2.11915,0.02949,0.05228,-0.27877,High (≥0.75),P-body enriched
AT1G14820,AT1G14820.3,0,train,0.4009,0,0.6565,19,14.23221,1335,756,262,2.78,2.3832,2.9284,0.70782,0.02249,0.05172,-0.2627,Low (<0.55),Not enriched
AT1G15010,AT1G15010.1,0,train,0.13121,0,0.738,11,14.17526,776,426,313,3.52,18.3185,23.9371,1.56022,0.04258,0.05935,-0.21649,Low (<0.55),Not enriched
AT1G15170,AT1G15170.1,0,train,0.30741,0,0.5899,24,12.30769,1950,1443,217,7.07,2.5536,7.5162,3.02232,0.02925,0.05336,-0.27313,Low (<0.55),Not enriched
AT1G15290,AT1G15290.1,1,test,0.91684,1,0.6039,78,14.09469,5534,4824,457,33.83,29.0654,20.1214,0.29765,0.02078,0.05368,,High (≥0.75),P-body enriched
AT1G15710,AT1G15710.1,1,train,0.82804,1,0.6201,17,9.5452,1781,1074,329,13.13,12.6093,24.8408,1.10973,0.03989,0.04438,-0.24469,High (≥0.75),P-body enriched
AT1G15825,AT1G15825.1,0,train,0.1311,0,0.7763,3,5.59701,536,378,76,100.0,31.2473,32.1872,0.91473,0.06355,0.04112,-0.18004,Low (<0.55),Not enriched
AT1G15840,AT1G15840.1,0,test,0.32195,0,0.5697,13,14.08451,923,378,251,100.0,22.1425,24.0806,1.0883,0.0564,0.03471,-0.33727,Low (<0.55),Not enriched
AT1G15880,AT1G15880.1,0,test,0.64761,1,0.6406,13,10.30111,1262,669,320,11.66,16.4095,14.2391,0.72873,0.03331,0.05155,-0.26965,Medium (0.55–0.75),Not enriched
AT1G15950,AT1G15950.1,1,train,0.77348,1,0.6717,22,15.08916,1458,1032,265,22.09,3.2177,2.6972,0.33867,0.04942,0.05285,-0.28724,High (≥0.75),P-body enriched
AT1G16080,AT1G16080.1,1,train,0.90818,1,0.688,22,16.41791,1340,939,266,0.32,12.1573,31.5806,3.55018,0.02987,0.04406,-0.28425,High (≥0.75),P-body enriched
AT1G16220,AT1G16220.1,0,val,0.91037,1,0.6912,34,16.31478,2084,1473,217,22.4,15.4534,28.5663,1.1854,0.02736,0.05185,-0.2738,High (≥0.75),Not enriched
AT1G16700,AT1G16700.1,1,train,0.88167,1,0.6447,18,13.81427,1303,666,349,0.0,11.1755,21.8056,2.92885,0.03379,0.04916,-0.28381,High (≥0.75),P-body enriched
AT1G16820,AT1G16820.1,0,train,0.11173,0,0.6209,7,8.38323,835,279,364,0.0,13.2655,13.259,1.02791,0.03237,0.06715,-0.25617,Low (<0.55),Not enriched
AT1G16916,AT1G16916.2,0,train,0.16639,0,0.678,8,11.67883,685,306,205,100.0,9.5883,8.7152,0.81508,0.0424,0.04532,-0.26803,Low (<0.55),Not enriched
AT1G17020,AT1G17020.1,0,train,0.35422,0,0.6765,21,13.75246,1527,1074,272,0.0,1.4129,4.2766,2.50842,0.02687,0.05308,-0.25573,Low (<0.55),Not enriched
AT1G17210,AT1G17210.1,1,train,0.93515,1,0.6818,40,11.43184,3499,2874,506,66.18,57.4441,89.1693,1.5876,0.02573,0.04946,,High (≥0.75),P-body enriched
AT1G17410,AT1G17410.1,0,train,0.16763,0,0.6959,10,10.42753,959,543,217,2.21,7.5062,10.1212,1.39954,0.03862,0.06159,-0.25912,Low (<0.55),Not enriched
AT1G17640,AT1G17640.1,0,train,0.313,0,0.7078,22,14.13882,1556,1107,308,46.88,28.3756,38.2568,1.22586,0.0283,0.05788,-0.2847,Low (<0.55),Not enriched
AT1G18030,AT1G18030.1,0,train,0.35247,0,0.6452,15,10.45296,1435,1053,310,21.65,10.6791,26.116,3.82865,0.03068,0.04254,-0.28209,Low (<0.55),Not enriched
AT1G18170,AT1G18170.1,1,train,0.79084,1,0.7004,12,10.27397,1168,741,227,38.06,17.3476,32.8673,2.7317,0.04284,0.06341,-0.26798,High (≥0.75),P-body enriched
AT1G18190,AT1G18190.1,1,train,0.86529,1,0.7232,50,21.78649,2295,2004,112,73.5,55.6522,80.6985,1.29405,0.02616,0.04403,-0.26183,High (≥0.75),P-body enriched
AT1G18200,AT1G18200.1,0,test,0.41161,0,0.5657,17,17.15439,991,687,198,3.06,4.6583,3.5295,0.30762,0.05354,0.07576,-0.2554,Low (<0.55),Not enriched
AT1G18300,AT1G18300.1,0,test,0.70487,1,0.6706,13,11.44366,1136,621,340,0.48,8.6524,16.2689,2.58232,0.03348,0.04846,-0.25537,Medium (0.55–0.75),Not enriched
AT1G18382,AT1G18382.1,0,train,0.06838,0,0.4904,12,15.28662,785,0,157,,,,,0.06505,0.03827,-0.26242,Low (<0.55),Not enriched
AT1G18670,AT1G18670.2,1,val,0.89685,1,0.6612,50,14.10039,3546,1986,1160,40.48,23.2693,29.3551,0.71833,0.02764,0.05755,,High (≥0.75),P-body enriched
AT1G19210,AT1G19210.1,0,val,0.26856,0,0.7318,9,10.05587,895,555,179,44.32,13.5333,11.6406,0.63831,0.05145,0.04251,-0.27307,Low (<0.55),Not enriched
AT1G19220,AT1G19220.1,1,train,0.90892,1,0.6433,67,15.48417,4327,3258,712,57.55,61.9015,40.5182,0.63876,0.02404,0.04947,,High (≥0.75),P-body enriched
AT1G19240,AT1G19240.1,0,train,0.09564,0,0.6426,7,10.05747,696,312,319,27.88,13.0631,15.3612,1.45301,0.03741,0.06906,-0.25503,Low (<0.55),Not enriched
AT1G19320,AT1G19320.1,0,train,0.13344,0,0.8243,4,4.62963,864,741,74,0.0,3.8937,6.0689,1.65908,0.06721,0.05794,-0.28113,Low (<0.55),Not enriched
AT1G19370,AT1G19370.1,1,train,0.86282,1,0.7056,28,12.00686,2332,1815,180,26.28,23.7513,39.144,0.94497,0.04419,0.05577,-0.27397,High (≥0.75),P-body enriched
AT1G19570,AT1G19570.1,1,train,0.83309,1,0.65,14,15.35088,912,639,160,0.0,1.0469,1.0546,0.96575,0.02634,0.04501,-0.25779,High (≥0.75),P-body enriched
AT1G19720,AT1G19720.1,1,train,0.89984,1,0.6572,40,13.03356,3069,2682,283,4.03,15.3843,53.1346,5.59459,0.02575,0.06128,,High (≥0.75),P-body enriched
AT1G19835,AT1G19835.3,1,train,0.89468,1,0.7346,57,14.65672,3889,2946,260,67.92,70.9188,97.9019,1.3923,0.02726,0.05221,,High (≥0.75),P-body enriched
AT1G19920,AT1G19920.1,1,train,0.89219,1,0.6782,27,14.10658,1914,1428,317,0.42,11.6472,35.2302,3.5738,0.01882,0.04861,-0.25627,High (≥0.75),P-body enriched
AT1G20070,AT1G20070.1,1,train,0.67782,1,0.6752,17,14.92537,1139,579,234,73.58,35.3891,41.0359,1.07947,0.04394,0.06327,-0.24196,Medium (0.55–0.75),P-body enriched
AT1G20200,AT1G20200.1,1,train,0.87756,1,0.6677,24,12.42236,1932,1464,322,20.7,6.881,11.5981,0.63101,0.03314,0.04868,-0.29073,High (≥0.75),P-body enriched
AT1G20225,AT1G20225.1,0,train,0.16419,0,0.7143,12,12.32033,974,699,210,0.86,6.3817,7.3675,0.74543,0.04214,0.05961,-0.23799,Low (<0.55),Not enriched
AT1G20810,AT1G20810.1,1,train,0.84569,1,0.6759,12,11.61665,1033,696,290,46.55,14.7352,31.5477,3.47955,0.03004,0.0562,-0.25886,High (≥0.75),P-body enriched
AT1G20830,AT1G20830.1,0,train,0.34377,0,0.6529,14,10.53424,1329,1047,242,34.38,31.6905,38.7503,1.05506,0.03087,0.04518,-0.25478,Low (<0.55),Not enriched
AT1G21130,AT1G21130.1,1,val,0.83582,1,0.6826,19,10.8945,1744,1119,356,0.8,4.8144,10.8002,3.27965,0.02295,0.06368,-0.25929,High (≥0.75),P-body enriched
AT1G21350,AT1G21350.5,1,train,0.86603,1,0.6933,18,14.63415,1230,795,225,14.34,17.9409,35.3265,2.42715,0.02929,0.07079,-0.26976,High (≥0.75),P-body enriched
AT1G21370,AT1G21370.1,1,train,0.81249,1,0.7116,22,12.85047,1712,1026,215,11.7,15.3752,29.1483,2.08175,0.03331,0.05435,-0.25701,High (≥0.75),P-body enriched
AT1G21440,AT1G21440.1,1,train,0.87771,1,0.6502,21,14.73684,1425,1008,243,0.89,9.6261,28.2811,3.15092,0.04354,0.05126,-0.27649,High (≥0.75),P-body enriched
AT1G22140,AT1G22140.3,0,val,0.19852,0,0.6525,15,17.46217,859,216,495,70.83,10.7727,9.9469,0.92196,0.02681,0.05361,-0.22538,Low (<0.55),Not enriched
AT1G22280,AT1G22280.3,1,train,0.79167,1,0.6448,16,10.76716,1486,861,335,23.34,2.5938,7.1411,3.54855,0.02559,0.06532,-0.25188,High (≥0.75),P-body enriched
AT1G22470,AT1G22470.1,0,train,0.15429,0,0.7481,16,19.32367,828,438,131,7.53,18.1446,20.7195,1.02514,0.02418,0.06651,-0.17017,Low (<0.55),Not enriched
AT1G22920,AT1G22920.1,1,train,0.87819,1,0.6331,26,16.79587,1548,1071,308,25.21,12.1791,13.8715,1.02666,0.03361,0.04783,-0.28469,High (≥0.75),P-body enriched
AT1G22940,AT1G22940.1,1,test,0.77076,1,0.7375,21,11.83766,1774,1566,160,2.68,7.5841,14.1869,1.58573,0.03384,0.04738,-0.29572,High (≥0.75),P-body enriched
AT1G23130,AT1G23130.1,0,train,0.32955,0,0.6867,8,9.46746,845,480,249,7.5,1.6939,2.7112,1.74007,0.02251,0.05806,-0.2555,Low (<0.55),Not enriched
AT1G23740,AT1G23740.1,1,train,0.72973,1,0.6538,15,10.19714,1471,1158,130,0.0,17.0125,32.9843,2.43073,0.04422,0.05238,-0.28266,Medium (0.55–0.75),P-body enriched
AT1G23800,AT1G23800.2,1,train,0.90515,1,0.586,38,19.32859,1966,1224,657,0.0,9.9853,27.3644,2.00955,0.01934,0.0458,-0.2797,High (≥0.75),P-body enriched
AT1G24100,AT1G24100.1,1,train,0.84511,1,0.6808,17,10.16139,1673,1380,213,0.0,1.0769,1.3605,1.80294,0.03648,0.04725,-0.26234,High (≥0.75),P-body enriched
AT1G24490,AT1G24490.1,1,train,0.92292,1,0.6295,32,16.21074,1974,1497,305,32.06,30.0971,43.7852,0.90433,0.02636,0.04612,-0.25567,High (≥0.75),P-body enriched
AT1G25220,AT1G25220.2,1,train,0.85847,1,0.6336,22,14.32292,1536,867,595,0.69,16.4121,36.4362,3.42871,0.0215,0.06906,-0.239,High (≥0.75),P-body enriched
AT1G26470,AT1G26470.1,0,train,0.19517,0,0.6796,6,7.70218,779,399,334,37.59,12.6807,15.8216,1.23593,0.02314,0.0527,-0.28049,Low (<0.55),Not enriched
AT1G26550,AT1G26550.1,1,train,0.76855,1,0.6278,10,11.87648,842,426,317,37.32,12.1193,14.4358,1.53522,0.0214,0.044,-0.26401,High (≥0.75),P-body enriched
AT1G26640,AT1G26640.1,0,train,0.4029,0,0.6667,12,8.74636,1372,996,237,0.0,1.7498,2.6319,2.80317,0.02991,0.04887,-0.27223,Low (<0.55),Not enriched
AT1G26670,AT1G26670.1,1,val,0.54885,1,0.7189,12,9.84413,1219,666,217,34.68,11.9908,12.3293,0.9216,0.0312,0.04598,-0.26259,Low (<0.55),P-body enriched
AT1G26770,AT1G26770.2,1,train,0.59663,1,0.4534,9,11.18012,805,777,161,0.0,6.3599,10.4589,1.77294,0.04975,0.04851,-0.30882,Medium (0.55–0.75),P-body enriched
AT1G27060,AT1G27060.1,0,val,0.70416,1,0.5569,18,14.09554,1277,1158,255,10.1,1.6593,3.2178,1.68807,0.02743,0.04232,-0.29045,Medium (0.55–0.75),Not enriched
AT1G27130,AT1G27130.1,1,train,0.8436,1,0.71,13,10.10886,1286,681,300,0.0,2.2237,3.3399,1.55142,0.03502,0.0607,-0.25832,High (≥0.75),P-body enriched
