geneID,transcript_id,class,condition,bioemu_tier,bioemu_status,idr_percent,mean_disorder,max_disorder_window,n_idr_regions,longest_idr_region,n_conformations,n_residues,pass_rate,rmsf_mean,rmsf_std,rmsf_max,rmsf_nterm50,rmsf_cterm50,rg_mean,rg_std,rg_cv,contact_density,packing_density,sasa_per_residue,feature_source,error
AT1G07660,AT1G07660.1,1,NS,2,completed,,0.3331,0.8214,1,26,47.0,103.0,0.94,6.4629,3.3951,21.3408,8.1875,4.8614,19.9016,1.9545,0.0982,7.3981,26.1807,48.3224,bioemu,
AT1G07720,AT1G07720.2,0,depleted,1,completed,,0.1895,0.4279,3,3,84.0,521.0,0.84,3.7664,5.4001,42.8196,16.253,3.3603,31.3279,1.7066,0.0545,9.2783,28.3477,23.672,bioemu,
AT1G07960,AT1G07960.4,0,depleted,1,completed,,0.2082,0.3906,1,5,92.0,146.0,0.92,4.6925,2.0404,15.3503,5.5017,4.1877,22.0123,1.2876,0.0585,8.3973,27.1524,41.705,bioemu,
AT1G08180,AT1G08180.1,0,depleted,3,completed,,0.8804,0.9841,1,111,63.0,111.0,0.63,18.5002,5.8037,38.6139,19.6159,18.2537,37.551,8.9268,0.2377,5.9099,23.5921,159.6358,bioemu,
AT1G08250,AT1G08250.1,1,HS,3,completed,,0.35,0.8663,4,94,39.0,413.0,0.39,12.1813,7.8738,49.4238,26.4319,7.8032,28.3779,4.6751,0.1647,9.201,27.6672,24.503,bioemu,
AT1G08370,AT1G08370.1,1,both,3,completed,,0.6419,0.9863,2,228,9.0,367.0,0.09,34.1361,13.4299,61.3458,24.1559,46.2962,48.9022,11.305,0.2312,6.3978,22.8167,81.8841,bioemu,
AT1G08380,AT1G08380.1,1,HS,1,completed,,0.2322,0.5102,2,9,64.0,140.0,0.64,15.9106,6.7099,42.5311,21.7674,13.661,32.5529,7.1974,0.2211,7.0571,25.7105,95.1175,bioemu,
AT1G08570,AT1G08570.1,1,NS,2,completed,,0.2914,0.9051,2,42,22.0,275.0,0.44,19.3152,9.8023,58.5938,33.295,20.3514,40.7683,6.3995,0.157,7.1345,23.631,75.949,bioemu,
AT1G09160,AT1G09160.1,1,NS,1,completed,,0.1987,0.6008,1,14,74.0,428.0,0.74,5.3844,5.0285,34.1328,9.8945,8.4416,25.6443,1.1087,0.0432,9.3645,27.4483,19.3085,bioemu,
AT1G09310,AT1G09310.1,1,HS,3,completed,,0.3725,0.8396,2,58,56.0,179.0,0.56,12.13,6.9035,38.0766,9.5919,20.2038,20.0139,4.7528,0.2375,8.4358,26.2593,28.1202,bioemu,
AT1G09490,AT1G09490.1,0,depleted,1,completed,,0.1536,0.2987,0,0,99.0,322.0,0.99,0.8919,0.9396,9.4012,0.9749,1.356,19.3311,0.1146,0.0059,9.9006,29.261,14.5837,bioemu,
AT1G09590,AT1G09590.1,1,HS,3,completed,,0.4059,0.7917,3,59,95.0,164.0,0.95,5.5564,3.7467,21.4073,5.0168,8.7393,27.0137,2.2822,0.0845,7.4512,24.791,55.9155,bioemu,
AT1G09795,AT1G09795.1,1,HS,1,completed,,0.2016,0.6439,1,21,24.0,413.0,0.24,17.1941,14.0919,71.4742,50.061,8.5858,34.2785,3.7457,0.1093,8.8765,27.6224,35.7522,bioemu,
AT1G09950,AT1G09950.1,0,depleted,1,completed,,0.2268,0.4045,1,4,86.0,230.0,0.86,1.7426,1.5171,8.2945,1.6515,1.2549,20.9156,0.3038,0.0145,8.7652,30.298,23.9013,bioemu,
AT1G10390,AT1G10390.1,0,depleted,3,completed,,0.8191,0.9941,8,678,100.0,1041.0,1.0,94.4647,20.2487,137.6312,124.8529,68.3887,107.9016,9.6782,0.0897,4.536,17.046,140.5448,bioemu,
AT1G10470,AT1G10470.1,0,depleted,3,completed,,0.4948,0.9956,2,99,24.0,259.0,0.24,21.1081,7.729,41.4857,21.0841,32.6709,34.9028,7.1901,0.206,7.1197,23.6973,59.1057,bioemu,
AT1G10500,AT1G10500.1,0,depleted,1,completed,,0.1745,0.2715,0,0,56.0,180.0,0.56,18.6326,8.7218,49.4453,30.3272,13.4282,40.3243,9.4828,0.2352,7.1222,23.9299,113.5195,bioemu,
AT1G10990,AT1G10990.2,0,depleted,3,completed,,0.7418,0.965,8,111,42.0,192.0,0.42,25.2795,4.679,46.6047,23.4902,30.0264,40.2998,11.4334,0.2837,6.7396,23.9007,106.2955,bioemu,
AT1G11240,AT1G11240.1,1,NS,3,completed,,0.9865,0.9991,1,200,27.0,200.0,0.27,30.3607,7.989,53.4721,33.341,38.6286,46.3148,11.5144,0.2486,5.58,22.4348,134.778,bioemu,
AT1G11320,AT1G11320.1,0,depleted,2,completed,,0.2877,0.6736,6,33,27.0,424.0,0.54,13.1384,7.6522,47.8292,29.7666,10.4844,35.2347,5.5223,0.1567,8.7547,26.9746,36.7947,bioemu,
AT1G11530,AT1G11530.1,1,HS,1,completed,,0.2326,0.3978,1,3,98.0,118.0,0.98,1.8392,1.9395,13.3825,1.4395,2.4627,13.2618,0.221,0.0167,9.0508,28.4872,18.7297,bioemu,
AT1G11580,AT1G11580.2,1,HS,1,completed,,0.2025,0.7082,6,25,38.0,578.0,0.38,14.3672,10.028,74.0669,39.3294,10.8067,32.6266,4.572,0.1401,10.0554,29.7269,23.1434,bioemu,
AT1G11670,AT1G11670.1,0,depleted,1,completed,,0.2525,0.8086,3,31,94.0,503.0,0.94,2.9158,3.3679,29.1135,8.8869,3.8032,24.0979,0.6861,0.0285,10.2545,32.4796,14.5077,bioemu,
AT1G11800,AT1G11800.1,1,HS,1,completed,,0.1632,0.3175,0,0,42.0,441.0,0.42,22.4486,8.3507,53.325,30.9027,18.294,34.2204,7.4485,0.2177,7.9773,24.8916,33.3688,bioemu,
AT1G11870,AT1G11870.2,0,depleted,2,completed,,0.2918,0.7826,3,80,13.0,514.0,0.26,14.2247,12.3418,61.7409,49.1451,9.9198,34.7385,3.7714,0.1086,8.8054,27.7094,29.5032,bioemu,
AT1G12050,AT1G12050.1,1,HS,1,completed,,0.204,0.557,2,14,95.0,421.0,0.95,0.5557,0.3941,3.1775,0.626,0.5885,21.8434,0.0857,0.0039,10.3563,29.2362,14.2419,bioemu,
AT1G12200,AT1G12200.2,1,both,1,completed,,0.2766,0.5917,8,11,74.0,382.0,0.74,3.5895,4.3595,29.0262,3.1055,11.7328,23.867,0.7248,0.0304,9.4084,28.2174,18.7389,bioemu,
AT1G12350,AT1G12350.2,1,NS,1,completed,,0.1722,0.3408,0,0,98.0,317.0,0.98,1.3086,1.389,10.7966,1.9315,0.9003,20.7328,0.1806,0.0087,9.2744,28.9471,17.0399,bioemu,
AT1G12400,AT1G12400.3,0,depleted,1,completed,,0.2778,0.3611,1,2,86.0,77.0,0.86,7.51,3.4717,18.932,7.1578,6.9112,13.7525,1.466,0.1066,8.4156,26.7169,30.8663,bioemu,
AT1G12800,AT1G12800.1,1,HS,3,completed,,0.4735,0.9913,6,241,100.0,767.0,1.0,56.0217,17.4047,105.4629,79.0988,55.2336,75.0437,10.7695,0.1435,6.5319,22.7437,92.2662,bioemu,
AT1G12900,AT1G12900.5,1,HS,1,completed,,0.1559,0.3307,1,2,66.0,441.0,0.66,17.6025,7.7545,48.3722,32.5929,13.3192,33.2025,6.9865,0.2104,9.3923,28.8803,31.4133,bioemu,
AT1G12920,AT1G12920.1,1,HS,1,completed,,0.1986,0.5036,2,12,93.0,434.0,0.93,4.2005,1.697,18.2304,4.5919,4.8919,30.3288,0.6365,0.021,9.2811,29.0309,26.6336,bioemu,
AT1G13090,AT1G13090.1,1,HS,2,completed,,0.2255,0.8142,2,25,33.0,298.0,0.66,1.7977,1.1593,8.7487,3.2973,1.3078,24.2358,0.4356,0.018,8.8054,29.4549,24.7691,bioemu,
AT1G13180,AT1G13180.1,1,HS,1,completed,,0.1603,0.3458,2,1,92.0,427.0,0.92,2.9251,1.6842,10.9583,4.2396,3.0371,24.353,0.6794,0.0279,9.6534,29.352,17.4536,bioemu,
AT1G13280,AT1G13280.1,1,HS,2,completed,,0.3198,0.7753,2,34,29.0,254.0,0.58,15.3966,8.4276,50.6808,28.8072,12.0315,29.8982,4.7709,0.1596,8.3465,25.1763,44.2248,bioemu,
AT1G13590,AT1G13590.1,0,depleted,3,completed,,0.6996,0.8663,2,61,63.0,87.0,0.63,12.7697,3.8662,28.5653,11.3821,13.6442,22.6668,5.4035,0.2384,6.5287,26.0231,74.2116,bioemu,
AT1G13690,AT1G13690.1,1,HS,3,completed,,0.4989,0.9785,3,59,76.0,177.0,0.76,14.3146,4.0421,30.9722,14.5831,16.318,38.6867,7.5215,0.1944,8.2486,28.0892,106.2576,bioemu,
AT1G13930,AT1G13930.2,1,HS,3,completed,,0.938,0.9921,1,155,44.0,155.0,0.44,18.4826,5.6276,35.9919,18.5771,22.3445,28.3499,6.6731,0.2354,6.5806,25.0092,65.1601,bioemu,
AT1G13950,AT1G13950.1,0,depleted,2,completed,,0.2502,0.7004,1,23,43.0,158.0,0.86,4.5411,3.6498,23.2903,7.1999,2.7752,19.4035,0.8082,0.0417,9.1899,27.4121,29.9442,bioemu,
AT1G14150,AT1G14150.1,1,HS,1,completed,,0.1746,0.3536,2,2,50.0,190.0,0.5,17.6883,9.0916,54.626,28.4475,13.0032,34.7552,7.9014,0.2273,7.6421,27.0869,79.8904,bioemu,
AT1G14310,AT1G14310.1,0,depleted,1,completed,,0.1526,0.1983,0,0,84.0,254.0,0.84,7.8384,8.7312,48.8949,19.1515,5.2411,24.3158,3.7109,0.1526,9.4803,28.775,29.2519,bioemu,
AT1G14380,AT1G14380.1,1,HS,3,completed,,0.7896,0.9984,2,429,100.0,664.0,1.0,69.3527,11.747,90.3279,72.9544,81.9969,79.3816,10.8829,0.1371,5.0633,19.5169,119.2563,bioemu,
AT1G14410,AT1G14410.1,1,both,2,completed,,0.2971,0.8086,3,31,22.0,263.0,0.44,21.2795,15.369,67.595,47.3248,22.232,32.9239,6.0488,0.1837,8.4487,26.3534,51.7937,bioemu,
AT1G14820,AT1G14820.3,0,depleted,1,completed,,0.2378,0.4684,1,7,98.0,252.0,0.98,2.3832,2.6504,22.5686,2.9284,4.0372,18.8408,0.4668,0.0248,9.1508,29.412,17.7014,bioemu,
AT1G15010,AT1G15010.1,0,depleted,1,completed,,0.2514,0.357,2,3,72.0,142.0,0.72,18.3185,8.4676,46.738,23.9371,15.2421,27.8307,5.4176,0.1947,7.3239,28.4533,68.5438,bioemu,
AT1G15170,AT1G15170.1,0,depleted,1,completed,,0.2251,0.6893,3,27,95.0,481.0,0.95,2.5536,2.8063,22.9555,7.5162,2.3869,23.1204,0.6101,0.0264,10.7609,33.2137,13.9654,bioemu,
AT1G15290,AT1G15290.1,1,HS,3,completed,,0.3936,0.9773,23,137,100.0,1608.0,1.0,29.0654,22.6026,75.3554,20.1214,67.5004,52.1479,3.9734,0.0762,8.1866,26.1178,21.2518,bioemu,
AT1G15710,AT1G15710.1,1,HS,2,completed,,0.2476,0.8847,1,47,28.0,358.0,0.56,12.6093,9.1654,52.5829,24.8408,22.2846,37.3587,4.4489,0.1191,8.4022,27.6079,48.9904,bioemu,
AT1G15825,AT1G15825.1,0,depleted,3,completed,,0.9787,0.9918,1,126,62.0,126.0,0.62,31.2473,7.0264,45.6824,32.1872,35.0875,41.3366,13.3066,0.3219,4.8571,19.465,170.4153,bioemu,
AT1G15840,AT1G15840.1,0,depleted,3,completed,,0.9853,1.0,1,126,44.0,126.0,0.44,22.1425,4.4974,39.4565,24.0806,22.0268,31.4205,11.3976,0.3627,6.2857,21.1146,98.4611,bioemu,
AT1G15880,AT1G15880.1,0,depleted,2,completed,,0.3383,0.5501,5,9,46.0,223.0,0.92,16.4095,5.5665,31.5367,14.2391,19.4397,37.9373,6.8861,0.1815,8.0359,30.4982,81.1033,bioemu,
AT1G15950,AT1G15950.1,1,HS,2,completed,,0.3062,0.9458,4,67,49.0,344.0,0.98,3.2177,3.9173,31.6265,2.6972,7.8641,22.4027,0.9835,0.0439,9.8547,29.053,18.3337,bioemu,
AT1G16080,AT1G16080.1,1,HS,1,completed,,0.1653,0.359,1,1,58.0,313.0,0.58,12.1573,11.402,69.4259,31.5806,8.7955,31.1343,5.052,0.1623,8.8243,27.4371,38.9175,bioemu,
AT1G16220,AT1G16220.1,0,depleted,2,completed,,0.3256,0.8685,3,63,16.0,491.0,0.32,15.4534,9.7902,42.4967,28.5663,23.9985,30.38,3.1863,0.1049,8.7006,26.8442,23.6213,bioemu,
AT1G16700,AT1G16700.1,1,HS,1,completed,,0.2013,0.3126,0,0,79.0,222.0,0.79,11.1755,6.7426,38.9204,21.8056,7.3451,43.2596,5.3369,0.1234,8.009,27.6007,105.9307,bioemu,
AT1G16820,AT1G16820.1,0,depleted,1,completed,,0.1952,0.2956,0,0,69.0,93.0,0.69,13.2655,3.6376,25.5632,13.259,12.799,19.7415,4.4188,0.2238,7.9355,28.0739,52.6606,bioemu,
AT1G16916,AT1G16916.2,0,depleted,3,completed,,0.7504,0.8472,1,102,77.0,102.0,0.77,9.5883,4.003,24.8579,8.7152,10.5924,23.2135,3.0993,0.1335,7.6078,31.0775,66.3883,bioemu,
AT1G17020,AT1G17020.1,0,depleted,1,completed,,0.1701,0.4015,0,0,92.0,358.0,0.92,1.4129,2.0737,19.1053,4.2766,1.6049,20.0929,0.361,0.018,9.5028,28.8083,14.1714,bioemu,
AT1G17210,AT1G17210.1,1,HS,3,completed,,0.6469,0.9843,16,383,100.0,958.0,1.0,57.4441,21.8701,112.1683,89.1693,56.0661,70.273,9.4679,0.1347,5.9228,20.912,64.7771,bioemu,
AT1G17410,AT1G17410.1,0,depleted,1,completed,,0.2094,0.3909,3,2,66.0,181.0,0.66,7.5062,4.157,24.9048,10.1212,7.1318,23.9303,2.8705,0.12,9.0276,28.8501,39.7583,bioemu,
AT1G17640,AT1G17640.1,0,depleted,3,completed,,0.4965,0.9794,4,66,5.0,369.0,0.05,28.3756,9.0305,66.0528,38.2568,31.1081,51.9179,7.7367,0.149,6.8022,22.4652,91.7949,bioemu,
AT1G18030,AT1G18030.1,0,depleted,2,completed,,0.3304,0.961,2,73,29.0,351.0,0.58,10.6791,8.0394,52.0451,26.116,6.7212,25.2996,2.2555,0.0892,9.6638,28.3822,22.9155,bioemu,
AT1G18170,AT1G18170.1,1,HS,3,completed,,0.3928,0.9532,2,74,29.0,247.0,0.29,17.3476,8.7018,47.2575,32.8673,11.9318,44.6592,7.8376,0.1755,8.1296,26.2129,101.4694,bioemu,
AT1G18190,AT1G18190.1,1,NS,3,completed,,0.7438,0.9993,8,421,100.0,668.0,1.0,55.6522,14.9555,94.1735,80.6985,62.261,76.4105,13.256,0.1735,6.7066,26.5346,109.8347,bioemu,
AT1G18200,AT1G18200.1,0,depleted,1,completed,,0.2302,0.4237,2,6,64.0,229.0,0.64,4.6583,4.7172,26.3677,3.5295,11.3737,18.6562,1.0241,0.0549,9.3275,27.7713,19.0994,bioemu,
AT1G18300,AT1G18300.1,0,depleted,1,completed,,0.1795,0.3359,1,1,81.0,207.0,0.81,8.6524,5.919,34.9608,16.2689,6.2001,20.6146,2.8528,0.1384,8.6087,27.1009,25.7983,bioemu,
AT1G18670,AT1G18670.2,1,HS,3,completed,,0.458,0.9932,6,227,4.0,662.0,0.04,23.2693,10.4155,47.0737,29.3551,40.766,48.0086,2.6565,0.0553,7.3021,24.4032,43.7512,bioemu,
AT1G19210,AT1G19210.1,0,depleted,3,completed,,0.4501,0.7275,6,36,41.0,185.0,0.41,13.5333,5.0311,31.271,11.6406,18.1367,23.4114,4.5769,0.1955,7.5027,24.6432,37.2299,bioemu,
AT1G19220,AT1G19220.1,1,HS,3,completed,,0.5625,0.9944,13,427,100.0,1086.0,1.0,61.9015,21.5256,105.9396,40.5182,63.3329,79.9962,10.1028,0.1263,6.8416,22.6323,74.0489,bioemu,
AT1G19240,AT1G19240.1,0,depleted,2,completed,,0.4696,0.5672,6,14,38.0,104.0,0.76,13.0631,3.822,26.0454,15.3612,10.472,22.7586,3.0723,0.135,7.8654,29.5595,62.5847,bioemu,
AT1G19320,AT1G19320.1,0,depleted,1,completed,,0.1518,0.3367,0,0,91.0,247.0,0.91,3.8937,2.6354,20.8757,6.0689,3.558,23.3499,0.8676,0.0372,10.1781,28.3894,27.7386,bioemu,
AT1G19370,AT1G19370.1,1,HS,2,completed,,0.3619,0.9812,3,143,12.0,605.0,0.24,23.7513,12.0029,50.0662,39.144,41.3237,40.2699,3.6966,0.0918,8.5223,26.179,33.6834,bioemu,
AT1G19570,AT1G19570.1,1,both,1,completed,,0.1425,0.2198,0,0,100.0,213.0,1.0,1.0469,0.5653,4.657,1.0546,0.992,17.47,0.2193,0.0126,9.2019,28.5964,18.0059,bioemu,
AT1G19720,AT1G19720.1,1,HS,1,completed,,0.1693,0.6462,1,36,37.0,894.0,0.37,15.3843,10.16,63.1027,53.1346,9.3975,45.4701,3.4845,0.0766,9.1678,29.3096,29.062,bioemu,
AT1G19835,AT1G19835.3,1,both,3,completed,,0.614,0.9981,13,216,100.0,982.0,1.0,70.9188,15.16,105.2593,97.9019,70.2166,93.4769,8.7862,0.094,6.3992,25.2604,111.8168,bioemu,
AT1G19920,AT1G19920.1,1,HS,1,completed,,0.1854,0.3983,1,2,66.0,476.0,0.66,11.6472,9.7278,64.5905,35.2302,9.7579,29.5929,3.7204,0.1257,9.2101,28.0477,23.1195,bioemu,
AT1G20070,AT1G20070.1,1,HS,3,completed,,0.733,0.981,2,140,42.0,193.0,0.42,35.3891,7.9331,63.3655,41.0359,37.9149,53.1995,15.0351,0.2826,4.9223,19.9665,184.2752,bioemu,
AT1G20200,AT1G20200.1,1,HS,2,completed,,0.3028,0.9577,5,42,43.0,488.0,0.86,6.881,5.7752,37.6572,11.5981,18.2802,33.047,2.6876,0.0813,8.459,29.0095,28.1226,bioemu,
AT1G20225,AT1G20225.1,0,depleted,1,completed,,0.1681,0.3268,1,2,89.0,233.0,0.89,6.3817,4.2882,29.9184,7.3675,9.7836,24.4973,1.2856,0.0525,8.4807,27.7465,32.3662,bioemu,
AT1G20810,AT1G20810.1,1,HS,3,completed,,0.5246,0.8788,7,87,57.0,232.0,0.57,14.7352,10.8619,57.2524,31.5477,8.9666,38.2159,7.3775,0.193,8.3966,25.7045,79.1061,bioemu,
AT1G20830,AT1G20830.1,0,depleted,3,completed,,0.4601,0.9748,8,70,18.0,349.0,0.18,31.6905,7.3965,60.8287,38.7503,36.6281,55.0131,7.7943,0.1417,6.6991,25.0318,108.9725,bioemu,
