geneID,transcript_id,class,condition,qc_fail,mrna_length,fA,fU,fG,fC,au_content,gc_content,di_AA,di_AU,di_AG,di_AC,di_UA,di_UU,di_UG,di_UC,di_GA,di_GU,di_GG,di_GC,di_CA,di_CU,di_CG,di_CC,utr5_length,utr3_length,cds_length,utr5_fraction,utr3_fraction,cds_fraction,utr3_au_content,rrach_count,rrach_per_kb,aaach_count,aaach_per_kb,mfe,mfe_per_nt,frac_paired,n_stemloops,n_stemloops_per_kb,long_3utr,ptc_proxy,bioemu_tier,bioemu_status,rmsf_mean,rmsf_std,rmsf_max,rmsf_nterm50,rmsf_cterm50,pass_rate,idr_percent,mean_disorder,max_disorder_window,n_idr_regions,longest_idr_region,isoform_source,event_type,cluster_id,split,n_residues,rg_mean,rg_std,rg_cv,contact_density,packing_density,sasa_per_residue,feature_source
AT1G02816,AT1G02816.1,0,depleted,False,1602,0.2833957553058677,0.3414481897627965,0.2003745318352059,0.1747815230961298,0.6248439450686641,0.3751560549313358,0.0968144909431605,0.089943785134291,0.0512179887570268,0.0449718925671455,0.0593379138038725,0.1317926296064959,0.075577763897564,0.0749531542785758,0.0818238600874453,0.0562148657089319,0.0356027482823235,0.0268582136164896,0.0455965021861336,0.0637101811367895,0.038101186758276,0.0274828232354778,184,917,498,0.114856429463171,0.5724094881398252,0.3108614232209737,0.6663,21,13.108614232209735,8,4.993757802746567,-393.6,-0.2456928838951311,0.6367,24.0,14.9812734082397,0,0,1.0,not_run,,,,,,,4.22,0.2067,0.4735,1.0,7.0,canonical_fallback,,601.0,test,166.0,26.575945086796214,0.0,0.0,4.228915662650603,128.5421686746988,7.867469879518072,af2_static
AT1G02930,AT1G02930.1,1,NS,False,1186,0.3043844856661045,0.3128161888701518,0.1745362563237774,0.2082630691399662,0.6172006745362564,0.3827993254637437,0.1139240506329113,0.070886075949367,0.0624472573839662,0.0573839662447257,0.0523206751054852,0.1156118143459915,0.0632911392405063,0.0818565400843881,0.0649789029535864,0.050632911392405,0.0261603375527426,0.0329113924050632,0.0734177215189873,0.0751054852320675,0.0227848101265822,0.0362869198312236,284,275,624,0.2394603709949409,0.2318718381112985,0.5261382799325464,0.6764,16,13.49072512647555,7,5.902192242833053,-278.4,-0.2347386172006745,0.5953,27.0,22.765598650927487,0,0,1.0,not_run,,,,,,,0.0,0.1615,0.2826,0.0,0.0,canonical_fallback,,339.0,test,208.0,17.230668472171576,0.0,0.0,4.831730769230769,155.56730769230768,7.980769230769231,af2_static
AT1G03130,AT1G03130.1,1,HS,False,956,0.3232217573221757,0.25,0.1935146443514644,0.2332635983263598,0.5732217573221757,0.4267782426778242,0.1172774869109947,0.0670157068062827,0.0785340314136125,0.0607329842931937,0.0481675392670157,0.0806282722513089,0.043979057591623,0.0764397905759162,0.0785340314136125,0.0460732984293193,0.037696335078534,0.031413612565445,0.0795811518324607,0.056544502617801,0.0324607329842931,0.0649214659685863,120,221,612,0.1255230125523012,0.2311715481171548,0.6401673640167364,0.6878,20,20.92050209205021,11,11.506276150627617,-213.7,-0.2235355648535564,0.5377,16.0,16.736401673640167,0,0,3.0,completed,19.6195,8.4937,49.5319,28.8546,20.0951,0.52,30.88,0.3929,0.6554,4.0,41.0,canonical_fallback,,157.0,val,204.0,35.0674,5.0718,0.1446,7.049,23.3386,75.7507,bioemu
AT1G03330,AT1G03330.1,1,NS,False,775,0.3032258064516129,0.3251612903225806,0.1858064516129032,0.1858064516129032,0.6283870967741936,0.3716129032258065,0.1007751937984496,0.0775193798449612,0.0710594315245478,0.0542635658914728,0.0697674418604651,0.1304909560723514,0.0607235142118863,0.0645994832041343,0.0697674418604651,0.0478036175710594,0.0374677002583979,0.0310077519379844,0.0633074935400516,0.0697674418604651,0.0167958656330749,0.0348837209302325,266,227,279,0.3432258064516129,0.2929032258064516,0.36,0.6696,10,12.903225806451612,5,6.451612903225806,-173.4,-0.2237419354838709,0.6039,9.0,11.612903225806452,0,0,1.0,not_run,,,,,,,0.0,0.1623,0.2896,0.0,0.0,canonical_fallback,,514.0,train,93.0,14.765534940958897,0.0,0.0,4.397849462365591,137.09677419354838,8.096774193548388,af2_static
AT1G03400,AT1G03400.2,1,NS,False,1402,0.2788873038516405,0.2774607703281027,0.2161198288159772,0.2275320970042796,0.5563480741797432,0.4436519258202567,0.0870806566738044,0.0749464668094218,0.0649536045681656,0.0513918629550321,0.0492505353319057,0.0892219842969307,0.0628122769450392,0.0763740185581727,0.0685224839400428,0.0435403283369022,0.0556745182012847,0.0485367594575303,0.0742326909350463,0.0699500356887937,0.0328336902212705,0.0506780870806566,79,183,1137,0.0563480741797432,0.1305278174037089,0.8109843081312411,0.6393,19,13.55206847360913,6,4.279600570613409,-382.5,-0.2728245363766048,0.5777,30.0,21.398002853067048,0,0,1.0,not_run,,,,,,,8.97,0.2655,0.5587,5.0,11.0,canonical_fallback,,59.0,train,351.0,19.799759916035768,0.0,0.0,4.883190883190883,151.63532763532763,7.854700854700854,af2_static
AT1G03760,AT1G03760.1,1,NS,False,1382,0.3205499276410998,0.2503617945007236,0.2351664254703328,0.1939218523878437,0.5709117221418234,0.4290882778581765,0.1078928312816799,0.0644460535843591,0.0912382331643736,0.057204923968139,0.0448950036205648,0.0782041998551774,0.0622737146994931,0.0651701665459811,0.0992034757422157,0.055756698044895,0.0441708906589427,0.0354815351194786,0.0687907313540912,0.0521361332367849,0.0369297610427226,0.0362056480811006,57,149,1173,0.0412445730824891,0.1078147612156295,0.8487698986975398,0.6779,22,15.918958031837915,7,5.065123010130247,-366.8,-0.2654124457308249,0.6194,27.0,19.53690303907381,0,0,3.0,completed,27.1371,11.4817,56.6641,17.9518,44.2858,0.16,72.12,0.7294,0.9929,3.0,241.0,canonical_fallback,,1208.0,val,391.0,45.217,8.1572,0.1804,6.8593,24.5432,65.7108,bioemu
AT1G04010,AT1G04010.1,0,depleted,False,2669,0.2795054327463469,0.304608467590858,0.2143124765829898,0.2015736230798051,0.5841139003372049,0.415886099662795,0.0888305847076461,0.0753373313343328,0.0599700149925037,0.0554722638680659,0.0603448275862069,0.1038230884557721,0.0745877061469265,0.0659670164917541,0.0655922038980509,0.0562218890554722,0.0517241379310344,0.04047976011994,0.0648425787106446,0.0693403298350824,0.0277361319340329,0.0397301349325337,136,631,1899,0.0509554140127388,0.2364181341326339,0.7115024353690521,0.683,38,14.237542150618207,13,4.870738104158861,-736.7,-0.2760209816410641,0.6512,45.0,16.860247283626826,0,0,1.0,not_run,,,,,,,1.9,0.1788,0.4357,3.0,6.0,canonical_fallback,,986.0,train,633.0,28.68312915732824,0.0,0.0,4.734597156398104,151.17219589257505,7.990521327014218,af2_static
AT1G04070,AT1G04070.1,0,depleted,False,690,0.2492753623188406,0.3318840579710145,0.2231884057971014,0.1956521739130435,0.5811594202898551,0.4188405797101449,0.0740203193033381,0.0885341074020319,0.0609579100145137,0.0261248185776487,0.0566037735849056,0.1262699564586357,0.0609579100145137,0.0885341074020319,0.0769230769230769,0.0507982583454281,0.0449927431059506,0.0507982583454281,0.0406386066763425,0.0667634252539912,0.0566037735849056,0.0304789550072568,78,327,282,0.1130434782608695,0.4739130434782608,0.408695652173913,0.6667,5,7.246376811594203,3,4.347826086956522,-177.9,-0.2578260869565217,0.6174,18.0,26.086956521739133,0,0,1.0,not_run,,,,,,,6.38,0.2487,0.4542,2.0,4.0,canonical_fallback,,123.0,train,94.0,30.0363893235269,0.0,0.0,3.627659574468085,110.17021276595744,7.425531914893617,af2_static
AT1G04340,AT1G04340.1,0,depleted,False,1044,0.2739463601532567,0.3409961685823754,0.1886973180076628,0.1963601532567049,0.6149425287356322,0.3850574712643678,0.0930009587727708,0.0738255033557047,0.0642377756471716,0.0431447746883988,0.062320230105465,0.1428571428571428,0.0575263662511984,0.0776605944391179,0.062320230105465,0.0450623202301054,0.0450623202301054,0.0364333652924257,0.0565675934803451,0.0795781399808245,0.022051773729626,0.0383509108341323,124,440,477,0.1187739463601532,0.421455938697318,0.4568965517241379,0.7,12,11.494252873563218,3,2.8735632183908044,-262.2,-0.2511494252873563,0.6226,19.0,18.199233716475096,0,0,2.0,completed,1.7746,1.2188,9.0649,1.8056,2.0179,0.94,14.47,0.3469,0.7213,2.0,22.0,canonical_fallback,,535.0,train,159.0,20.5512,0.3513,0.0171,8.7925,30.9219,33.3801,bioemu
AT1G04350,AT1G04350.1,1,HS,False,2066,0.3151016456921587,0.2875121006776379,0.1873184898354307,0.2100677637947725,0.6026137463697967,0.3973862536302033,0.1210653753026634,0.0769975786924939,0.0629539951573849,0.0542372881355932,0.0513317191283292,0.0939467312348668,0.060048426150121,0.0823244552058111,0.0682808716707021,0.0493946731234866,0.0353510895883777,0.0338983050847457,0.07409200968523,0.0673123486682808,0.0290556900726392,0.0397094430992736,386,597,1080,0.1868344627299129,0.2889641819941916,0.5227492739593417,0.6298,40,19.36108422071636,27,13.068731848983544,-506.0,-0.2449177153920619,0.6108,36.0,17.424975798644727,0,0,1.0,not_run,,,,,,,1.39,0.1601,0.4467,1.0,5.0,canonical_fallback,,59.0,train,360.0,20.306872891407753,0.0,0.0,4.811111111111111,153.76388888888889,7.975,af2_static
AT1G04530,AT1G04530.1,1,HS,False,1524,0.3083989501312336,0.2900262467191601,0.2414698162729658,0.1601049868766404,0.5984251968503937,0.4015748031496063,0.1011162179908076,0.0860144451739986,0.0840446487196323,0.0374261326329612,0.0610636900853578,0.093237032173342,0.0814182534471437,0.0538411030860144,0.1011162179908076,0.0538411030860144,0.0479317137229153,0.0387393302692055,0.0453053184504267,0.057124097176625,0.0275771503611293,0.0302035456336178,311,280,930,0.2040682414698162,0.1837270341207349,0.610236220472441,0.6821,18,11.811023622047244,6,3.937007874015748,-407.2,-0.2671916010498688,0.6391,26.0,17.060367454068242,0,0,2.0,completed,25.5816,9.8952,58.9097,40.8305,30.4847,0.4,25.81,0.3501,0.8795,8.0,44.0,canonical_fallback,,1028.0,train,310.0,42.7748,10.3727,0.2425,7.2774,25.8265,74.1694,bioemu
AT1G04870,AT1G04870.2,1,HS,False,1626,0.2859778597785978,0.2939729397293973,0.2355473554735547,0.1845018450184501,0.5799507995079951,0.4200492004920049,0.0923076923076923,0.0787692307692307,0.0689230769230769,0.0461538461538461,0.0523076923076923,0.104,0.0824615384615384,0.0553846153846153,0.0824615384615384,0.056,0.0553846153846153,0.0412307692307692,0.059076923076923,0.0553846153846153,0.0289230769230769,0.0412307692307692,223,251,1149,0.1371463714637146,0.1543665436654366,0.7066420664206642,0.7211,20,12.300123001230013,5,3.075030750307503,-463.2,-0.284870848708487,0.6556,26.0,15.990159901599018,0,0,1.0,not_run,,,,,,,8.88,0.2287,0.8263,2.0,27.0,rmats_A3SS_overlap_2candidates,A3SS,1147.0,train,383.0,25.48236213598926,0.0,0.0,4.830287206266319,148.2715404699739,7.906005221932115,af2_static
AT1G05210,AT1G05210.1,0,depleted,False,770,0.2597402597402597,0.3181818181818182,0.2155844155844155,0.2064935064935065,0.577922077922078,0.422077922077922,0.0871261378413524,0.0767230169050715,0.0559167750325097,0.0390117035110533,0.0455136540962288,0.1144343302990897,0.0793237971391417,0.0793237971391417,0.071521456436931,0.0442132639791937,0.0494148244473342,0.0507152145643693,0.0559167750325097,0.083224967490247,0.0312093628088426,0.036410923276983,65,198,504,0.0844155844155844,0.2571428571428571,0.6545454545454545,0.702,7,9.09090909090909,4,5.194805194805195,-205.1,-0.2663636363636363,0.6104,13.0,16.883116883116884,0,0,2.0,completed,2.0263,1.9373,14.6135,1.5219,3.1671,0.98,16.07,0.264,0.6452,2.0,23.0,canonical_fallback,,603.0,train,168.0,20.8225,0.6768,0.0325,9.0,30.4569,32.4313,bioemu
AT1G05350,AT1G05350.1,1,NS,False,1913,0.2822791427077888,0.2937794040773654,0.2347098797699947,0.189231573444851,0.5760585467851542,0.4239414532148458,0.0957112970711297,0.0711297071129707,0.0653765690376569,0.0496861924686192,0.0481171548117154,0.0957112970711297,0.0899581589958159,0.0601464435146443,0.0763598326359832,0.0632845188284518,0.051255230125523,0.0439330543933054,0.0622384937238493,0.0638075313807531,0.0277196652719665,0.0355648535564853,404,213,1293,0.211186617877679,0.1113434396236278,0.6759017250392054,0.6854,26,13.591217982226867,12,6.272869837950863,-519.3,-0.2714584422373235,0.6325,35.0,18.295870360690014,0,0,2.0,completed,10.1975,8.2886,42.0239,11.9289,29.2614,0.8,25.52,0.3388,0.9416,1.0,110.0,canonical_fallback,,800.0,train,431.0,34.0244,4.7805,0.1405,8.5522,27.6628,33.7531,bioemu
AT1G05410,AT1G05410.1,0,depleted,False,1758,0.2895335608646189,0.282707622298066,0.2423208191126279,0.1854379977246871,0.5722411831626849,0.4277588168373151,0.0870802504268639,0.0813887307911212,0.0796812749003984,0.041548093340922,0.0586226522481502,0.0808195788275469,0.0825270347182697,0.0608992601024473,0.0865110984632896,0.0557768924302788,0.0512236767216846,0.0489470688673875,0.0574843483210017,0.0648833238474672,0.0284575981787137,0.0341491178144564,209,133,1413,0.1188850967007963,0.0756541524459613,0.8037542662116041,0.7068,17,9.670079635949945,5,2.844141069397042,-516.0,-0.2935153583617747,0.6314,31.0,17.633674630261662,0,0,2.0,completed,21.6126,5.0733,46.0859,24.8108,20.2126,0.62,22.29,0.3402,0.8199,6.0,45.0,canonical_fallback,,804.0,train,471.0,37.2972,4.8989,0.1313,8.0934,26.9707,37.1144,bioemu
AT1G05680,AT1G05680.1,0,depleted,False,1755,0.3008547008547008,0.2752136752136752,0.2233618233618233,0.2005698005698005,0.576068376068376,0.4239316239316239,0.105473204104903,0.0701254275940707,0.0701254275940707,0.0553021664766248,0.04903078677309,0.0815279361459521,0.0735461801596351,0.0706955530216647,0.0769669327251995,0.0655644241733181,0.04903078677309,0.0319270239452679,0.0695553021664766,0.0581527936145952,0.0307867730900798,0.0421892816419612,199,194,1359,0.1133903133903133,0.1105413105413105,0.7743589743589744,0.7216,27,15.384615384615383,11,6.267806267806268,-458.3,-0.2611396011396011,0.6165,28.0,15.954415954415955,0,0,1.0,not_run,,,,,,,1.32,0.2204,0.4558,1.0,6.0,canonical_fallback,,12.0,train,453.0,21.98078890009758,0.0,0.0,4.916114790286976,153.73068432671081,7.929359823399558,af2_static
AT1G05790,AT1G05790.3,0,depleted,False,2614,0.2746748278500383,0.2945677123182861,0.2325937260902831,0.1981637337413925,0.5692425401683244,0.4307574598316755,0.0815154994259471,0.0830463069269039,0.0608495981630309,0.0493685419058553,0.0512820512820512,0.0968235744355147,0.0834290088021431,0.0631458094144661,0.0750095675468809,0.0558744737849215,0.052812858783008,0.0489858400306161,0.066972828166858,0.058936088786835,0.0355912743972445,0.0363566781477229,237,208,2166,0.0906656465187452,0.0795715378729915,0.8286151491966335,0.6875,43,16.449885233358838,14,5.355776587605203,-749.5,-0.2867253251721499,0.6427,47.0,17.98010711553175,0,0,2.0,completed,10.9861,6.2453,42.6823,10.8815,8.5669,0.56,14.13,0.2834,0.9429,7.0,86.0,canonical_fallback,,870.0,train,722.0,35.3465,3.6867,0.1043,9.349,29.1834,21.7454,bioemu
AT1G05805,AT1G05805.1,1,HS,False,1795,0.3030640668523677,0.2735376044568245,0.1949860724233983,0.2284122562674094,0.5766016713091922,0.4233983286908078,0.0958751393534002,0.0847268673355629,0.0657748049052396,0.0568561872909698,0.060200668896321,0.0852842809364548,0.0445930880713489,0.0836120401337792,0.0702341137123745,0.0384615384615384,0.0423634336677814,0.0434782608695652,0.0769230769230769,0.0646599777034559,0.0423634336677814,0.0445930880713489,399,307,1086,0.2222841225626741,0.1710306406685236,0.6050139275766017,0.7068,28,15.598885793871869,13,7.242339832869081,-451.3,-0.2514206128133704,0.5805,23.0,12.813370473537605,0,0,3.0,completed,23.7319,15.4476,93.7492,37.5469,17.2437,0.02,85.08,0.7299,0.95,6.0,261.0,canonical_fallback,,1268.0,train,362.0,58.3726,6.0454,0.1036,5.7238,21.815,118.2822,bioemu
AT1G06030,AT1G06030.1,0,depleted,False,1216,0.2508223684210526,0.3018092105263157,0.2261513157894736,0.2212171052631578,0.5526315789473685,0.4473684210526316,0.0790123456790123,0.0699588477366255,0.0567901234567901,0.0452674897119341,0.0353909465020576,0.0954732510288065,0.0748971193415637,0.0962962962962963,0.0880658436213991,0.0493827160493827,0.0452674897119341,0.0436213991769547,0.048559670781893,0.0872427983539094,0.0493827160493827,0.0353909465020576,77,149,987,0.0633223684210526,0.1225328947368421,0.8116776315789473,0.698,15,12.335526315789474,8,6.578947368421053,-341.4,-0.2807565789473684,0.602,21.0,17.269736842105264,0,0,1.0,not_run,,,,,,,0.0,0.1551,0.3392,0.0,0.0,canonical_fallback,,19.0,train,329.0,19.21054173433401,0.0,0.0,5.161094224924012,146.4437689969605,7.6626139817629175,af2_static
AT1G06160,AT1G06160.1,0,depleted,False,1086,0.3047882136279926,0.2955801104972376,0.212707182320442,0.1869244935543278,0.6003683241252302,0.3996316758747698,0.1142857142857142,0.0783410138248847,0.0737327188940092,0.0387096774193548,0.0571428571428571,0.1004608294930875,0.0617511520737327,0.0764976958525345,0.0894009216589861,0.0479262672811059,0.0423963133640553,0.032258064516129,0.0433179723502304,0.0691244239631336,0.0350230414746543,0.0396313364055299,139,212,732,0.1279926335174954,0.1952117863720073,0.6740331491712708,0.684,12,11.049723756906076,8,7.366482504604051,-291.1,-0.2680478821362799,0.6151,18.0,16.574585635359114,0,0,3.0,completed,24.1165,8.9276,42.831,29.2252,35.2105,0.16,45.08,0.4699,0.9161,2.0,94.0,canonical_fallback,,292.0,train,244.0,38.6528,6.2972,0.1629,7.2623,24.9306,76.9454,bioemu
AT1G06210,AT1G06210.1,1,NS,False,1584,0.317550505050505,0.2676767676767677,0.2348484848484848,0.1799242424242424,0.5852272727272727,0.4147727272727273,0.1099178774478837,0.0682248894504106,0.0890713834491472,0.0505369551484523,0.0442198357548957,0.0922299431459254,0.0758054327226784,0.0555906506632975,0.1036007580543272,0.0435881238155401,0.045483259633607,0.0416929879974731,0.0600126342387871,0.0631711939355653,0.0246367656348704,0.0322173089071383,181,251,1149,0.1142676767676767,0.1584595959595959,0.7253787878787878,0.6335,27,17.045454545454543,8,5.05050505050505,-421.2,-0.2659090909090909,0.6098,28.0,17.676767676767675,0,0,3.0,completed,22.621,9.6513,56.4493,24.2388,42.419,0.09,59.53,0.5924,0.9978,12.0,96.0,canonical_fallback,,1148.0,val,383.0,45.5253,5.5273,0.1214,7.4204,26.3192,68.0013,bioemu
