geneID,transcript_id,class,condition,isoform_source,event_type,transcript_biotype,n_exons,strongest_rna_log2fc,mrna_len,protein_len,has_cds,short_protein,internal_stop,qc_pass,qc_flag
AT3G11930,AT3G11930.3,1,both,rmats_RI_overlap,RI,protein_coding,3.0,2.4154784747382694,1116,226,True,False,False,True,pass
AT3G56240,AT3G56240.1,1,both,canonical_fallback,,protein_coding,3.0,2.378340668505047,907,121,True,False,False,True,pass
AT5G24314,AT5G24314.2,1,HS,canonical_fallback,,protein_coding,4.0,2.368679131036096,655,169,True,False,False,True,pass
AT1G07660,AT1G07660.1,1,NS,canonical_fallback,,protein_coding,2.0,2.3600117776062244,722,103,True,False,False,True,pass
AT3G60370,AT3G60370.2,1,HS,rmats_A5SS_overlap_2candidates,A5SS,protein_coding,7.0,2.35236503477627,1180,271,True,False,False,True,pass
AT4G14340,AT4G14340.2,1,HS,rmats_RI_overlap,RI,protein_coding,13.0,2.3208416250620103,2340,364,True,False,False,True,pass
AT1G48600,AT1G48600.2,1,both,canonical_fallback,,protein_coding,12.0,2.2615016713824088,1956,491,True,False,False,True,pass
AT1G03400,AT1G03400.2,1,NS,canonical_fallback,,protein_coding,2.0,2.2385906152625177,1402,379,True,False,False,True,pass
AT3G50440,AT3G50440.1,1,NS,canonical_fallback,,protein_coding,3.0,2.2367393478823736,828,275,True,False,False,True,pass
AT3G62820,AT3G62820.1,1,HS,canonical_fallback,,protein_coding,1.0,2.2355891433884367,1195,194,True,False,False,True,pass
AT5G06770,AT5G06770.1,1,HS,rmats_SE_overlap_5candidates,SE,protein_coding,3.0,2.217596773034403,1171,240,True,False,False,True,pass
AT3G02190,AT3G02190.1,1,NS,canonical_fallback,,protein_coding,3.0,2.2147954062020654,550,51,True,False,False,True,pass
AT1G78370,AT1G78370.1,1,both,canonical_fallback,,protein_coding,2.0,2.197013912263539,1147,217,True,False,False,True,pass
AT5G20500,AT5G20500.1,1,HS,rmats_SE_overlap,SE,protein_coding,4.0,2.1465245101510297,826,135,True,False,False,True,pass
AT3G09980,AT3G09980.1,1,NS,canonical_fallback,,protein_coding,4.0,2.129496992520461,1191,178,True,False,False,True,pass
AT5G51120,AT5G51120.2,1,HS,canonical_fallback,,protein_coding,7.0,2.122952227729987,1213,265,True,False,False,True,pass
AT1G52670,AT1G52670.1,1,HS,rmats_A3SS_overlap,A3SS,protein_coding,9.0,2.11548909186102,1204,274,True,False,False,True,pass
AT3G32930,AT3G32930.1,1,HS,canonical_fallback,,protein_coding,5.0,2.110819860207606,1126,249,True,False,False,True,pass
AT1G24100,AT1G24100.1,1,both,canonical_fallback,,protein_coding,2.0,2.098612169523427,1673,460,True,False,False,True,pass
AT2G20690,AT2G20690.1,1,HS,canonical_fallback,,protein_coding,2.0,2.09675925416923,1206,271,True,False,False,True,pass
AT1G78995,AT1G78995.1,1,NS,canonical_fallback,,protein_coding,3.0,2.096392755836961,1017,159,True,False,False,True,pass
AT5G52100,AT5G52100.1,1,HS,rmats_A5SS_overlap,A5SS,protein_coding,10.0,2.085001541909097,1291,298,True,False,False,True,pass
AT2G03440,AT2G03440.1,1,HS,canonical_fallback,,protein_coding,1.0,2.0826773237956084,1097,187,True,False,False,True,pass
AT5G18100,AT5G18100.1,1,HS,canonical_fallback,,protein_coding,7.0,2.079375498916873,708,164,True,False,False,True,pass
AT5G48870,AT5G48870.1,1,NS,canonical_fallback,,protein_coding,4.0,2.0772698355455823,520,88,True,False,False,True,pass
AT4G10970,AT4G10970.6,1,HS,rmats_SE_overlap_2candidates,SE,protein_coding,8.0,2.076622040305923,846,281,True,False,False,True,pass
AT1G21440,AT1G21440.1,1,both,canonical_fallback,,protein_coding,7.0,2.05185860295671,1425,336,True,False,False,True,pass
AT5G65270,AT5G65270.1,1,HS,canonical_fallback,,protein_coding,2.0,2.051110126456776,1184,226,True,False,False,True,pass
AT2G04690,AT2G04690.5,1,HS,rmats_A5SS_overlap_6candidates,A5SS,protein_coding,4.0,2.031695782558951,1144,230,True,False,False,True,pass
AT4G26720,AT4G26720.1,1,HS,canonical_fallback,,protein_coding,8.0,2.027861775354509,1617,305,True,False,False,True,pass
AT5G01650,AT5G01650.3,1,HS,rmats_SE_overlap_3candidates,SE,protein_coding,3.0,2.015407586805678,1064,122,True,False,False,True,pass
AT5G67490,AT5G67490.1,1,HS,canonical_fallback,,protein_coding,1.0,2.0138634706500627,800,108,True,False,False,True,pass
AT1G32550,AT1G32550.2,1,both,rmats_SE_overlap,SE,protein_coding,7.0,2.01107370589488,585,194,True,False,False,True,pass
AT4G29830,AT4G29830.1,1,HS,canonical_fallback,,protein_coding,2.0,1.996920348508076,1278,321,True,False,False,True,pass
AT2G31040,AT2G31040.1,1,HS,canonical_fallback,,protein_coding,9.0,1.9969087822378584,1699,350,True,False,False,True,pass
AT2G21280,AT2G21280.2,1,HS,canonical_fallback,,protein_coding,12.0,1.9783798373870485,1507,362,True,False,False,True,pass
AT1G78020,AT1G78020.1,1,HS,canonical_fallback,,protein_coding,2.0,1.975630374015932,1015,162,True,False,False,True,pass
AT2G35605,AT2G35605.1,1,both,canonical_fallback,,protein_coding,2.0,1.9682542789434616,699,109,True,False,False,True,pass
AT2G28430,AT2G28430.1,1,NS,canonical_fallback,,protein_coding,3.0,1.961132469200484,525,85,True,False,False,True,pass
AT2G37680,AT2G37680.2,1,both,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,8.0,1.956863852398391,1063,244,True,False,False,True,pass
AT3G22231,AT3G22231.1,1,NS,canonical_fallback,,protein_coding,3.0,1.954032113039976,773,81,True,False,False,True,pass
AT5G22880,AT5G22880.1,1,both,canonical_fallback,,protein_coding,1.0,1.9513104295139472,847,145,True,False,False,True,pass
AT5G42990,AT5G42990.1,1,both,canonical_fallback,,protein_coding,6.0,1.9412199562748795,789,161,True,False,False,True,pass
AT3G06980,AT3G06980.1,1,HS,canonical_fallback,,protein_coding,8.0,1.92551055626656,2954,781,True,False,False,True,pass
AT2G27960,AT2G27960.1,1,HS,canonical_fallback,,protein_coding,3.0,1.9237806188353712,857,87,True,False,False,True,pass
AT1G54290,AT1G54290.1,1,both,canonical_fallback,,protein_coding,5.0,1.9204985409031528,855,113,True,False,False,True,pass
AT3G52720,AT3G52720.4,1,both,rmats_RI_overlap,RI,protein_coding,5.0,1.9131835927772187,1218,284,True,False,False,True,pass
AT5G64160,AT5G64160.1,1,HS,canonical_fallback,,protein_coding,4.0,1.913100995792602,1087,227,True,False,False,True,pass
AT4G27690,AT4G27690.1,1,HS,canonical_fallback,,protein_coding,12.0,1.902933016006693,1286,303,True,False,False,True,pass
AT5G08080,AT5G08080.3,1,NS,rmats_SE_overlap,SE,protein_coding,14.0,1.89860050294091,1348,315,True,False,False,True,pass
AT5G48020,AT5G48020.1,1,HS,canonical_fallback,,protein_coding,7.0,1.8906631616248697,1621,355,True,False,False,True,pass
AT3G54560,AT3G54560.1,1,NS,canonical_fallback,,protein_coding,3.0,1.8899426828502857,891,136,True,False,False,True,pass
AT4G10300,AT4G10300.1,1,HS,canonical_fallback,,protein_coding,2.0,1.8864842051920745,811,134,True,False,False,True,pass
AT5G42070,AT5G42070.1,1,HS,rmats_A3SS_overlap,A3SS,protein_coding,3.0,1.881486277879579,705,164,True,False,False,True,pass
AT4G33670,AT4G33670.1,1,HS,canonical_fallback,,protein_coding,5.0,1.881060440581624,1292,319,True,False,False,True,pass
AT1G22920,AT1G22920.1,1,both,canonical_fallback,,protein_coding,6.0,1.878404111665977,1548,357,True,False,False,True,pass
AT1G80500,AT1G80500.2,1,NS,rmats_A5SS_overlap_2candidates,A5SS,protein_coding,6.0,1.8757067143739323,1177,135,True,False,False,True,pass
AT5G28500,AT5G28500.1,1,HS,canonical_fallback,,protein_coding,1.0,1.873144269231568,1829,434,True,False,False,True,pass
AT3G15660,AT3G15660.1,1,NS,rmats_RI_overlap,RI,protein_coding,6.0,1.865779383474652,1191,169,True,False,False,True,pass
AT1G15950,AT1G15950.1,1,HS,canonical_fallback,,protein_coding,6.0,1.853076707397667,1458,344,True,False,False,True,pass
AT4G38740,AT4G38740.1,1,both,canonical_fallback,,protein_coding,1.0,1.847481971568284,1236,172,True,False,False,True,pass
AT3G51660,AT3G51660.1,1,both,canonical_fallback,,protein_coding,2.0,1.846899286669213,819,112,True,False,False,True,pass
AT2G46225,AT2G46225.2,1,HS,rmats_RI_overlap,RI,protein_coding,8.0,1.84538494140338,1403,329,True,False,False,True,pass
AT5G64140,AT5G64140.1,1,HS,canonical_fallback,,protein_coding,2.0,1.8410367130910923,965,64,True,False,False,True,pass
AT1G03330,AT1G03330.1,1,NS,canonical_fallback,,protein_coding,3.0,1.8372059675230976,775,93,True,False,False,True,pass
AT4G17650,AT4G17650.1,1,HS,canonical_fallback,,protein_coding,4.0,1.830974666639868,1378,256,True,False,False,True,pass
AT3G14990,AT3G14990.1,1,both,rmats_A3SS_overlap_3candidates,A3SS,protein_coding,8.0,1.8309287866889623,1663,392,True,False,False,True,pass
AT1G45230,AT1G45230.1,1,HS,canonical_fallback,,protein_coding,3.0,1.818574796544671,1189,219,True,False,False,True,pass
AT1G49650,AT1G49650.1,1,NS,canonical_fallback,,protein_coding,1.0,1.8179988440302768,1481,374,True,False,False,True,pass
AT5G38520,AT5G38520.2,1,HS,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,6.0,1.812658577008699,1354,374,True,False,False,True,pass
AT5G16290,AT5G16290.1,1,HS,canonical_fallback,,protein_coding,13.0,1.8103663495639808,1858,477,True,False,False,True,pass
AT2G46650,AT2G46650.1,1,NS,canonical_fallback,,protein_coding,3.0,1.804015342742041,1070,132,True,False,False,True,pass
AT4G13770,AT4G13770.1,1,NS,canonical_fallback,,protein_coding,2.0,1.7998710692571185,1909,502,True,False,False,True,pass
AT2G02570,AT2G02570.2,1,HS,rmats_A3SS_overlap_4candidates,A3SS,protein_coding,8.0,1.795890221757536,1502,300,True,False,False,True,pass
AT3G52920,AT3G52920.1,1,NS,canonical_fallback,,protein_coding,4.0,1.7956065215637111,1232,180,True,False,False,True,pass
AT3G23890,AT3G23890.1,1,NS,rmats_SE_overlap,SE,protein_coding,20.0,1.787316693207231,5003,1473,True,False,False,True,pass
AT3G57870,AT3G57870.1,1,HS,canonical_fallback,,protein_coding,5.0,1.7857108925136371,1106,160,True,False,False,True,pass
AT2G21060,AT2G21060.1,1,HS,canonical_fallback,,protein_coding,1.0,1.7825682343418123,1017,201,True,False,False,True,pass
AT2G41100,AT2G41100.1,1,HS,rmats_SE_overlap_6candidates,SE,protein_coding,4.0,1.780320976978127,1252,324,True,False,False,True,pass
AT3G54600,AT3G54600.1,1,NS,canonical_fallback,,protein_coding,4.0,1.774928502657841,1752,399,True,False,False,True,pass
AT4G19100,AT4G19100.1,1,NS,canonical_fallback,,protein_coding,2.0,1.7700274437636203,839,214,True,False,False,True,pass
AT5G48930,AT5G48930.1,1,both,canonical_fallback,,protein_coding,2.0,1.765462473189894,1800,433,True,False,False,True,pass
AT5G64350,AT5G64350.1,1,HS,canonical_fallback,,protein_coding,5.0,1.76485776075066,714,112,True,False,False,True,pass
AT5G58005,AT5G58005.2,1,NS,canonical_fallback,,protein_coding,3.0,1.7628831264981044,795,116,True,False,False,True,pass
AT5G49220,AT5G49220.1,1,NS,canonical_fallback,,protein_coding,6.0,1.7596789023818815,2047,409,True,False,False,True,pass
AT2G41870,AT2G41870.1,1,HS,canonical_fallback,,protein_coding,2.0,1.7587306342782736,1544,274,True,False,False,True,pass
AT3G15290,AT3G15290.1,1,both,canonical_fallback,,protein_coding,4.0,1.7544281730721802,1248,294,True,False,False,True,pass
AT4G37925,AT4G37925.1,1,HS,canonical_fallback,,protein_coding,2.0,1.7538697761090356,1003,217,True,False,False,True,pass
AT1G80650,AT1G80650.3,1,HS,rmats_RI_overlap,RI,protein_coding,3.0,1.7504720899871011,1169,146,True,False,False,True,pass
AT1G55210,AT1G55210.1,1,NS,canonical_fallback,,protein_coding,1.0,1.746502321609683,1035,187,True,False,False,True,pass
AT3G42790,AT3G42790.1,1,HS,canonical_fallback,,protein_coding,5.0,1.7408853005324942,1165,250,True,False,False,True,pass
AT5G48370,AT5G48370.1,1,HS,rmats_A3SS_overlap_3candidates,A3SS,protein_coding,5.0,1.740865538330184,1693,438,True,False,False,True,pass
AT5G12850,AT5G12850.1,1,HS,canonical_fallback,,protein_coding,2.0,1.7385653901762166,2874,706,True,False,False,True,pass
AT3G44720,AT3G44720.1,1,both,canonical_fallback,,protein_coding,1.0,1.7385536627080014,1903,424,True,False,False,True,pass
AT3G45640,AT3G45640.1,1,HS,canonical_fallback,,protein_coding,6.0,1.735751375741034,1858,370,True,False,False,True,pass
AT3G60450,AT3G60450.2,1,both,canonical_fallback,,protein_coding,4.0,1.7305932237951307,1091,306,True,False,False,True,pass
AT1G21350,AT1G21350.5,1,HS,rmats_SE_overlap_4candidates,SE,protein_coding,10.0,1.7262647315039854,1230,265,True,False,False,True,pass
AT2G03870,AT2G03870.2,1,both,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,6.0,1.7214791499710822,757,99,True,False,False,True,pass
AT2G31790,AT2G31790.1,1,HS,canonical_fallback,,protein_coding,3.0,1.7200621542225976,1641,457,True,False,False,True,pass
AT3G52580,AT3G52580.1,1,HS,canonical_fallback,,protein_coding,6.0,1.7189648609088917,896,150,True,False,False,True,pass
AT3G43270,AT3G43270.1,1,HS,canonical_fallback,,protein_coding,3.0,1.718169551286974,2232,527,True,False,False,True,pass
AT1G50370,AT1G50370.1,1,both,rmats_A3SS_overlap,A3SS,protein_coding,10.0,1.7165809938227776,1678,303,True,False,False,True,pass
AT4G22570,AT4G22570.2,1,both,rmats_RI_overlap,RI,protein_coding,5.0,1.7164703331791251,1146,105,True,False,False,True,pass
AT3G55280,AT3G55280.1,1,HS,rmats_RI_overlap_2candidates,RI,protein_coding,4.0,1.7128592710424466,903,154,True,False,False,True,pass
AT2G26340,AT2G26340.2,1,HS,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,7.0,1.7127670048489043,839,264,True,False,False,True,pass
AT4G33350,AT4G33350.1,1,HS,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,8.0,1.7114363495065348,1190,268,True,False,False,True,pass
AT1G21130,AT1G21130.1,1,HS,canonical_fallback,,protein_coding,3.0,1.7109839035508805,1744,373,True,False,False,True,pass
AT5G56600,AT5G56600.1,1,both,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,3.0,1.7036955988128764,396,131,True,False,False,True,pass
AT2G01650,AT2G01650.2,1,HS,canonical_fallback,,protein_coding,3.0,1.703241762880452,1766,458,True,False,False,True,pass
AT5G14910,AT5G14910.1,1,HS,canonical_fallback,,protein_coding,5.0,1.6983047012195711,1129,178,True,False,False,True,pass
AT4G31120,AT4G31120.2,1,NS,rmats_RI_overlap,RI,protein_coding,22.0,1.6960841033892202,2158,584,True,False,False,True,pass
AT2G43100,AT2G43100.1,1,both,canonical_fallback,,protein_coding,1.0,1.696020022758681,1198,256,True,False,False,True,pass
AT3G59870,AT3G59870.1,1,both,rmats_A3SS_overlap,A3SS,protein_coding,6.0,1.6942610936773734,1365,288,True,False,False,True,pass
AT3G27310,AT3G27310.1,1,NS,canonical_fallback,,protein_coding,7.0,1.6891862009206478,1193,251,True,False,False,True,pass
AT1G02100,AT1G02100.1,1,HS,rmats_A5SS_overlap_3candidates,A5SS,protein_coding,12.0,1.6793808180509426,1431,332,True,False,False,True,pass
AT5G42765,AT5G42765.1,1,HS,rmats_A3SS_overlap,A3SS,protein_coding,5.0,1.6781778491396184,997,229,True,False,False,True,pass
AT2G38860,AT2G38860.2,1,both,canonical_fallback,,protein_coding,4.0,1.6713292857042557,2127,398,True,False,False,True,pass
AT1G28290,AT1G28290.1,1,both,canonical_fallback,,protein_coding,2.0,1.665327002951947,1482,359,True,False,False,True,pass
AT1G05350,AT1G05350.1,1,NS,canonical_fallback,,protein_coding,14.0,1.663457916011084,1913,431,True,False,False,True,pass
AT4G19170,AT4G19170.1,1,NS,canonical_fallback,,protein_coding,1.0,1.6622133622577413,2261,595,True,False,False,True,pass
AT1G27430,AT1G27430.1,1,HS,rmats_A3SS_overlap_3candidates,A3SS,protein_coding,10.0,1.6565800727813844,5051,1492,True,False,False,True,pass
AT2G26430,AT2G26430.3,1,HS,rmats_RI_overlap,RI,protein_coding,6.0,1.6559775397635257,1673,361,True,False,False,True,pass
AT4G04610,AT4G04610.1,1,HS,canonical_fallback,,protein_coding,3.0,1.6557685051452455,1935,465,True,False,False,True,pass
AT3G06200,AT3G06200.1,1,NS,canonical_fallback,,protein_coding,2.0,1.6554896795525766,1446,282,True,False,False,True,pass
AT5G65010,AT5G65010.2,1,HS,rmats_A5SS_overlap_2candidates,A5SS,protein_coding,13.0,1.652384940350396,2071,579,True,False,False,True,pass
AT3G02220,AT3G02220.1,1,NS,canonical_fallback,,protein_coding,7.0,1.6501582735915,1059,227,True,False,False,True,pass
AT1G45145,AT1G45145.1,1,HS,canonical_fallback,,protein_coding,2.0,1.6478441104874832,840,118,True,False,False,True,pass
AT5G58710,AT5G58710.1,1,NS,rmats_A3SS_overlap,A3SS,protein_coding,6.0,1.6476492141554508,963,204,True,False,False,True,pass
AT1G76680,AT1G76680.2,1,HS,canonical_fallback,,protein_coding,2.0,1.6455465182808764,1511,397,True,False,False,True,pass
AT1G70710,AT1G70710.1,1,both,canonical_fallback,,protein_coding,7.0,1.64301340975512,2081,492,True,False,False,True,pass
AT2G36870,AT2G36870.1,1,NS,canonical_fallback,,protein_coding,4.0,1.6423915265536764,1360,299,True,False,False,True,pass
AT4G24440,AT4G24440.1,1,HS,rmats_A5SS_overlap_2candidates,A5SS,protein_coding,4.0,1.6409646723331466,720,106,True,False,False,True,pass
AT3G21090,AT3G21090.1,1,HS,canonical_fallback,,protein_coding,9.0,1.63617170270795,2450,691,True,False,False,True,pass
AT5G16120,AT5G16120.4,1,HS,canonical_fallback,,protein_coding,9.0,1.6355035787350936,1590,383,True,False,False,True,pass
AT3G61710,AT3G61710.1,1,HS,rmats_A3SS_overlap_4candidates,A3SS,protein_coding,10.0,1.6322594779127282,1992,517,True,False,False,True,pass
AT1G16700,AT1G16700.1,1,HS,canonical_fallback,,protein_coding,9.0,1.6302438821760652,1303,222,True,False,False,True,pass
AT2G34460,AT2G34460.1,1,HS,canonical_fallback,,protein_coding,4.0,1.6298727110761595,1146,280,True,False,False,True,pass
AT1G31220,AT1G31220.1,1,NS,canonical_fallback,,protein_coding,5.0,1.6272928193569507,1520,292,True,False,False,True,pass
AT2G35240,AT2G35240.1,1,HS,canonical_fallback,,protein_coding,4.0,1.6213178695293071,999,232,True,False,False,True,pass
AT1G64680,AT1G64680.2,1,HS,rmats_RI_overlap,RI,protein_coding,3.0,1.620912160862094,1275,204,True,False,False,True,pass
AT3G04920,AT3G04920.2,1,HS,rmats_RI_overlap,RI,protein_coding,4.0,1.6206064104718172,1135,112,True,False,False,True,pass
AT3G01340,AT3G01340.1,1,HS,canonical_fallback,,protein_coding,2.0,1.6196711541463265,1284,302,True,False,False,True,pass
AT1G48320,AT1G48320.1,1,both,canonical_fallback,,protein_coding,2.0,1.6195219422866496,820,156,True,False,False,True,pass
AT3G03780,AT3G03780.3,1,both,rmats_SE_overlap_2candidates,SE,protein_coding,12.0,1.617196136871582,2586,765,True,False,False,True,pass
AT3G12685,AT3G12685.1,1,NS,canonical_fallback,,protein_coding,5.0,1.6171896182700518,798,213,True,False,False,True,pass
AT5G42100,AT5G42100.1,1,HS,canonical_fallback,,protein_coding,2.0,1.6166265909540158,2075,425,True,False,False,True,pass
AT5G53330,AT5G53330.1,1,HS,rmats_A3SS_overlap,A3SS,protein_coding,5.0,1.6113890641632596,933,221,True,False,False,True,pass
AT5G61030,AT5G61030.1,1,NS,canonical_fallback,,protein_coding,5.0,1.6105675491864364,1510,309,True,False,False,True,pass
AT1G03760,AT1G03760.1,1,NS,canonical_fallback,,protein_coding,10.0,1.609876205858126,1382,391,True,False,False,True,pass
AT1G72550,AT1G72550.1,1,HS,canonical_fallback,,protein_coding,19.0,1.6083895461830675,2260,598,True,False,False,True,pass
AT5G44450,AT5G44450.2,1,HS,rmats_RI_overlap,RI,protein_coding,7.0,1.608144030574693,1472,281,True,False,False,True,pass
AT1G32440,AT1G32440.1,1,HS,canonical_fallback,,protein_coding,12.0,1.602063684302601,2176,571,True,False,False,True,pass
AT2G05100,AT2G05100.2,1,HS,canonical_fallback,,protein_coding,3.0,1.6006201849496149,1122,317,True,False,False,True,pass
AT5G30490,AT5G30490.2,1,HS,rmats_RI_overlap,RI,protein_coding,3.0,1.600338217481333,1163,236,True,False,False,True,pass
AT3G19720,AT3G19720.1,1,HS,rmats_RI_overlap,RI,protein_coding,17.0,1.5996618978340569,2768,777,True,False,False,True,pass
AT3G22660,AT3G22660.1,1,NS,canonical_fallback,,protein_coding,2.0,1.5967915811265263,1180,293,True,False,False,True,pass
AT3G52100,AT3G52100.1,1,HS,rmats_SE_overlap,SE,protein_coding,13.0,1.5966802039959438,2091,696,True,False,False,True,pass
AT2G04700,AT2G04700.1,1,both,rmats_A3SS_overlap_3candidates,A3SS,protein_coding,6.0,1.5962740201474952,1287,146,True,False,False,True,pass
AT5G39850,AT5G39850.1,1,HS,canonical_fallback,,protein_coding,3.0,1.5956912654952924,1041,197,True,False,False,True,pass
AT2G41380,AT2G41380.1,1,NS,canonical_fallback,,protein_coding,2.0,1.5933628081876263,1280,269,True,False,False,True,pass
AT1G18670,AT1G18670.2,1,HS,rmats_RI_overlap,RI,protein_coding,8.0,1.5917067005587464,3546,662,True,False,False,True,pass
AT3G48330,AT3G48330.4,1,HS,canonical_fallback,,protein_coding,4.0,1.586336576049757,871,283,True,False,False,True,pass
AT1G66530,AT1G66530.1,1,NS,rmats_A3SS_overlap,A3SS,protein_coding,17.0,1.5783558777914983,2059,590,True,False,False,True,pass
AT3G43240,AT3G43240.1,1,both,canonical_fallback,,protein_coding,16.0,1.5765627591249785,2952,747,True,False,False,True,pass
AT5G19990,AT5G19990.1,1,HS,canonical_fallback,,protein_coding,10.0,1.5748275241887884,1838,419,True,False,False,True,pass
AT3G01180,AT3G01180.1,1,HS,canonical_fallback,,protein_coding,8.0,1.5745011919002283,3023,792,True,False,False,True,pass
AT2G35390,AT2G35390.4,1,NS,rmats_SE_overlap_2candidates,SE,protein_coding,7.0,1.5720230898861682,1955,352,True,False,False,True,pass
AT2G30390,AT2G30390.2,1,HS,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,10.0,1.5708972722182224,1878,522,True,False,False,True,pass
AT1G50450,AT1G50450.1,1,HS,rmats_A5SS_overlap,A5SS,protein_coding,13.0,1.5700217972273618,1559,428,True,False,False,True,pass
AT1G50900,AT1G50900.1,1,HS,canonical_fallback,,protein_coding,2.0,1.5664711429445977,793,175,True,False,False,True,pass
AT2G35940,AT2G35940.3,1,both,rmats_RI_overlap,RI,protein_coding,5.0,1.560543207121494,2992,680,True,False,False,True,pass
AT2G29320,AT2G29320.2,1,NS,rmats_RI_overlap,RI,protein_coding,4.0,1.5600039463356516,1388,251,True,False,False,True,pass
AT4G14680,AT4G14680.2,1,HS,canonical_fallback,,protein_coding,4.0,1.559151840426045,1941,510,True,False,False,True,pass
AT2G03510,AT2G03510.1,1,HS,canonical_fallback,,protein_coding,9.0,1.5566778343625949,1462,356,True,False,False,True,pass
AT5G48680,AT5G48680.1,1,NS,canonical_fallback,,protein_coding,6.0,1.5549386994137302,1081,206,True,False,False,True,pass
AT1G35780,AT1G35780.2,1,HS,rmats_RI_overlap_2candidates,RI,protein_coding,4.0,1.5536320032548545,2528,212,True,False,False,True,pass
AT5G25940,AT5G25940.1,1,HS,canonical_fallback,,protein_coding,4.0,1.5533142584965705,582,115,True,False,False,True,pass
AT5G15200,AT5G15200.1,1,HS,canonical_fallback,,protein_coding,3.0,1.5473474915648031,1006,198,True,False,False,True,pass
AT1G14380,AT1G14380.1,1,HS,rmats_RI_overlap_3candidates,RI,protein_coding,7.0,1.54571463687274,2522,664,True,False,False,True,pass
AT5G02120,AT5G02120.1,1,HS,canonical_fallback,,protein_coding,3.0,1.5438926501768484,526,110,True,False,False,True,pass
AT1G13690,AT1G13690.1,1,HS,canonical_fallback,,protein_coding,2.0,1.541523600755791,863,177,True,False,False,True,pass
AT1G63610,AT1G63610.2,1,HS,rmats_RI_overlap,RI,protein_coding,6.0,1.5388524118379996,1533,257,True,False,False,True,pass
AT5G04520,AT5G04520.1,1,NS,rmats_A5SS_overlap,A5SS,protein_coding,3.0,1.5321744435403586,1044,291,True,False,False,True,pass
AT2G39700,AT2G39700.1,1,both,canonical_fallback,,protein_coding,3.0,1.5315541633325798,1500,257,True,False,False,True,pass
AT2G35690,AT2G35690.1,1,HS,canonical_fallback,,protein_coding,11.0,1.5296167977722352,2412,664,True,False,False,True,pass
AT4G34700,AT4G34700.1,1,HS,rmats_A5SS_overlap,A5SS,protein_coding,6.0,1.5282049639664157,1021,117,True,False,False,True,pass
AT5G07030,AT5G07030.1,1,both,canonical_fallback,,protein_coding,3.0,1.527686948691336,1895,455,True,False,False,True,pass
