geneID,transcript_id,class,condition,qc_fail,idr_percent,mean_disorder,max_disorder_window,n_idr_regions,longest_idr_region,protein_length,aiupred_status,bioemu_tier,bioemu_n_conf
AT1G55500,AT1G55500.4,1,both,False,58.18,0.5716,0.9641,7,269,593,computed,3,100
AT1G56500,AT1G56500.2,1,HS,False,3.08,0.2116,0.5344,6,9,878,computed,1,0
AT1G56660,AT1G56660.1,0,depleted,False,100.0,0.997,1.0,1,522,522,computed,3,100
AT1G56700,AT1G56700.1,1,HS,False,3.65,0.1943,0.4626,1,8,219,computed,1,0
AT1G58110,AT1G58110.2,1,HS,False,53.21,0.5123,0.8974,10,68,374,computed,3,100
AT1G58420,AT1G58420.1,0,depleted,False,70.39,0.6652,0.9283,5,101,179,computed,3,100
AT1G59600,AT1G59600.1,0,depleted,False,2.78,0.2023,0.5092,1,9,324,computed,1,0
AT1G60430,AT1G60430.2,1,HS,False,2.87,0.2296,0.4354,1,5,174,computed,1,0
AT1G60640,AT1G60640.2,1,NS,False,97.65,0.9172,0.9999,3,227,340,computed,3,100
AT1G60660,AT1G60660.1,0,depleted,False,38.02,0.4333,0.8089,2,43,121,computed,3,100
AT1G60730,AT1G60730.3,1,HS,False,1.1,0.1822,0.4394,3,2,365,computed,1,0
AT1G61340,AT1G61340.1,0,depleted,False,10.81,0.2892,0.4948,7,5,185,computed,2,50
AT1G61570,AT1G61570.1,0,depleted,False,28.74,0.363,0.7904,1,25,87,computed,2,50
AT1G61920,AT1G61920.1,0,depleted,False,0.0,0.2327,0.2916,0,0,56,computed,1,0
AT1G62150,AT1G62150.1,0,depleted,False,0.0,0.1411,0.2362,0,0,463,computed,1,0
AT1G62180,AT1G62180.1,1,HS,False,15.64,0.2658,0.6306,5,45,454,computed,2,50
AT1G62380,AT1G62380.1,1,HS,False,0.94,0.1871,0.3203,1,3,320,computed,1,0
AT1G62560,AT1G62560.2,1,NS,False,10.35,0.2563,0.5519,7,18,396,computed,2,50
AT1G62710,AT1G62710.1,0,depleted,False,5.97,0.2161,0.6241,5,12,486,computed,1,0
AT1G63000,AT1G63000.1,1,HS,False,0.0,0.1596,0.2413,0,0,301,computed,1,0
AT1G63130,AT1G63130.1,0,depleted,False,0.0,0.1477,0.2779,0,0,630,computed,1,0
AT1G63460,AT1G63460.1,1,NS,False,3.59,0.1746,0.359,1,6,167,computed,1,0
AT1G63610,AT1G63610.2,1,HS,False,42.02,0.4521,0.7614,9,36,257,computed,3,100
AT1G63800,AT1G63800.1,0,depleted,False,38.92,0.4204,0.9409,2,66,185,computed,3,100
AT1G64065,AT1G64065.1,0,depleted,False,37.38,0.3952,0.9068,1,80,214,computed,3,100
AT1G64400,AT1G64400.1,1,HS,False,3.46,0.1927,0.574,2,12,665,computed,1,0
AT1G64680,AT1G64680.2,1,HS,False,0.0,0.1941,0.2904,0,0,204,computed,1,0
AT1G65240,AT1G65240.1,0,depleted,False,6.95,0.1933,0.6445,2,29,475,computed,1,0
AT1G65346,AT1G65346.1,0,depleted,False,15.57,0.3469,0.5042,7,7,122,computed,2,50
AT1G65540,AT1G65540.3,1,HS,False,24.46,0.3565,0.9334,9,89,736,computed,2,50
AT1G66400,AT1G66400.1,0,depleted,False,1.91,0.1855,0.3519,1,3,157,computed,1,0
AT1G66430,AT1G66430.1,1,HS,False,13.02,0.214,0.6876,2,32,384,computed,2,50
AT1G66500,AT1G66500.1,0,depleted,False,41.59,0.4959,0.9791,9,110,416,computed,3,100
AT1G66530,AT1G66530.1,1,NS,False,0.0,0.1582,0.3454,0,0,590,computed,1,0
AT1G66820,AT1G66820.1,0,depleted,False,12.84,0.2355,0.5322,1,14,109,computed,2,50
AT1G67870,AT1G67870.1,1,HS,False,100.0,0.9902,1.0,1,279,279,computed,3,100
AT1G68100,AT1G68100.1,1,HS,False,63.11,0.6159,0.9805,2,193,469,computed,3,100
AT1G68185,AT1G68185.2,1,NS,False,41.0,0.4681,0.7953,9,33,261,computed,3,100
AT1G68310,AT1G68310.1,0,depleted,False,10.06,0.3342,0.5273,3,8,159,computed,2,50
AT1G68660,AT1G68660.1,1,HS,False,1.26,0.1949,0.3572,1,2,159,computed,1,0
AT1G68680,AT1G68680.1,1,both,False,25.33,0.3721,0.7984,1,19,75,computed,2,50
AT1G68945,AT1G68945.1,0,depleted,False,0.0,0.2702,0.3058,0,0,48,computed,1,0
AT1G69010,AT1G69010.1,1,NS,False,87.46,0.7514,0.9911,8,121,311,computed,3,100
AT1G69370,AT1G69370.1,1,HS,False,0.0,0.1492,0.243,0,0,316,computed,1,0
AT1G69510,AT1G69510.2,1,HS,False,100.0,0.8446,0.9864,1,137,137,computed,3,100
AT1G69530,AT1G69530.3,1,NS,False,0.0,0.1842,0.3124,0,0,275,computed,1,0
AT1G70440,AT1G70440.1,0,depleted,False,7.21,0.2044,0.5885,2,21,305,computed,1,0
AT1G70580,AT1G70580.1,1,both,False,0.0,0.1583,0.2961,0,0,481,computed,1,0
AT1G70710,AT1G70710.1,1,both,False,2.44,0.2071,0.4826,5,4,492,computed,1,0
AT1G70760,AT1G70760.1,0,depleted,False,22.51,0.3596,0.8177,3,38,191,computed,2,50
AT1G70790,AT1G70790.1,1,both,False,11.35,0.225,0.6944,1,21,185,computed,2,50
